"","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Corynebacteriaceae","Moraxellaceae","Peptococcaceae","Pseudomonadaceae","Sphingobacteriaceae","Sphingomonadaceae","Lactobacillaceae","Rhodospirillaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Flavobacteriaceae","Erysipelotrichaceae","Clostridiales_vadinBB60_group","Burkholderiaceae","Family_XI","Leptotrichiaceae","Thermaceae","Coriobacteriaceae","Bacteroidaceae","Porphyromonadaceae","Streptococcaceae","Peptostreptococcaceae","Leuconostocaceae","Rikenellaceae","Opitutaceae","Fusobacteriaceae","Bifidobacteriaceae","Aerococcaceae","Actinomycetaceae","Defluviitaleaceae","Oxalobacteraceae","Cellulomonadaceae","Eubacteriaceae","Micrococcaceae","Gastranaerophilales(order)","Desulfovibrionaceae","Neisseriaceae","Blastocatellaceae_Subgroup_4_","Listeriaceae","Synergistaceae","Methylobacteriaceae","0319_6A21","Mollicutes_RF9(order)","Erythrobacteraceae","Acidaminococcaceae","Bacteroidales_S24_7_group","Desulfurellaceae","Thermoanaerobacteraceae","Chitinophagaceae","Acetobacteraceae","vadinBE97","Paenibacillaceae","Nocardioidaceae","Streptosporangiales_Incertae_Sedis","Microbacteriaceae","Rhizobiaceae","Victivallaceae","Xanthomonadaceae","Cryomorphaceae","Caulobacteraceae","Geobacteraceae","env_OPS_17","Intrasporangiaceae","Shewanellaceae","uncultured","Candidatus_Falkowbacteria(class)","Nocardiaceae","Chloroplast(class)","Cytophagaceae","Geodermatophilaceae","Staphylococcaceae","Campylobacteraceae","Bacteriovoracaceae","Pasteurellaceae","Cyanobacteria(phylum)","X35(order)","Enterobacteriaceae","ABS_19","Heliobacteriaceae","Solirubrobacteraceae","Bacillaceae","Verrucomicrobiaceae","Carnobacteriaceae","Clostridiaceae_1","FamilyII","Methanobacteriaceae","Propionibacteriaceae","Phyllobacteriaceae","Hyphomicrobiaceae","Oligoflexaceae","Dermabacteraceae"
"X206615",0.0005711022272986865,0.0,0.0,0.0,0.0,0.0830001903674091,0.001142204454597373,0.006853226727584237,0.0,0.0020940415000951836,0.0,0.0,0.0,0.0,0.4344184275652008,0.0,0.06225014277555682,0.0,0.01161241195507329,0.0,0.0,0.0,0.0,0.0,0.00019036740909956216,0.36245954692556637,0.002284408909194746,0.0007614696363982486,0.0,0.0,0.0,0.0,0.003997715591090805,0.0,0.0,0.0003807348181991243,0.0,0.0,0.0,0.0,0.0,0.0,0.0034266133637921186,0.0009518370454978108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007614696363982486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001332571863696935,0.0,0.0,0.0,0.00019036740909956216,0.0,0.0,0.0,0.0,0.0,0.019798210546354465,0.0,0.0,0.0,0.0,0.0015229392727964973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206619",0.0,0.0,0.0,0.0,0.0,0.04751552795031056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4015527950310559,0.007453416149068323,0.06894409937888199,0.008074534161490683,0.0012422360248447205,0.0,0.0,0.0,0.0,0.0,0.002484472049689441,0.45248447204968945,0.0,0.0,0.0,0.0,0.00031055900621118014,0.0,0.0034161490683229812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206646",0.0,0.02126487906129538,8.472063371034016e-05,0.0008048460202482315,0.006608209429406532,0.32168424619816155,0.00033888253484136064,8.472063371034016e-05,0.000508323802262041,4.236031685517008e-05,0.0,0.0002541619011310205,8.472063371034016e-05,0.0,0.26454017876053715,8.472063371034016e-05,0.026009234549074427,0.0,0.001609692040496463,0.00021180158427585037,0.0,0.000550684119117211,0.0,0.0,0.0013978904562206124,0.29880967509636974,0.0038971491506756472,0.0003812428516965307,0.0006777650696827213,0.0,0.03897149150675647,0.0,0.00029652221798619053,0.002838141229296395,8.472063371034016e-05,4.236031685517008e-05,8.472063371034016e-05,0.0,0.0,0.0003812428516965307,0.0,0.0,4.236031685517008e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012708095056551024,0.00016944126742068032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.236031685517008e-05,0.0,8.472063371034016e-05,0.0,0.00021180158427585037,0.0,0.0,0.006354047528275512,0.0,0.0,0.0,0.0,4.236031685517008e-05,0.0,0.00021180158427585037,8.472063371034016e-05,0.0,0.0,0.0,0.0,0.0,0.0
"X206648",0.0,0.0,0.0002933411557641537,0.0,0.0,0.1824581988853036,0.0,5.8668231152830744e-05,0.0,0.0,0.0,0.0,0.0,0.01501906717512467,0.30085068935171605,0.08630096802581402,0.00023467292461132298,0.0,0.03326488706365503,0.0,0.0,0.0005280140803754767,0.0,0.0,0.0002933411557641537,0.332414197711939,0.004810794954532121,0.0005280140803754767,0.0,0.0,0.016837782340862424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014901730712819009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009328248753300088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8668231152830744e-05,0.0,0.00017600469345849224,0.00011733646230566149,0.0,0.0,0.0015253740099735993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206656",0.000576036866359447,0.0,0.002880184331797235,0.02707373271889401,0.0,0.30414746543778803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889400921658986,0.000576036866359447,0.018433179723502304,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0034562211981566822,0.0017281105990783411,0.18029953917050692,0.024193548387096774,0.0,0.0,0.0,0.06509216589861751,0.0,0.0293778801843318,0.0,0.0,0.0017281105990783411,0.0,0.0,0.0,0.0,0.0,0.0,0.02304147465437788,0.0,0.0,0.0,0.0,0.0,0.010944700460829493,0.0,0.0,0.0069124423963133645,0.0017281105990783411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034562211981566822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008640552995391706,0.0,0.0,0.01728110599078341,0.0,0.0,0.0,0.0,0.004032258064516129,0.0,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206660",0.0,0.0,0.15090078787574648,0.0,0.0,0.014904401063883174,5.018316856526321e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0014051287198273699,0.1403623224770412,0.03588096552416319,0.14056305515130224,0.0,0.0005018316856526321,0.0,0.0,0.0005018316856526321,0.0,0.0,0.0,0.21638982285341496,0.03231796055602951,0.00015054950569578964,0.0,0.0,0.028253123902243188,0.0,0.019671802077583178,0.0004516485170873689,0.0,0.0,5.018316856526321e-05,0.0,0.0,0.0,0.0,0.0011542128770010538,0.01565714859236212,0.0,0.0,0.0,0.0023084257540021075,0.0,0.0,0.0,0.0,0.17810006523811914,0.0,0.0,0.0,5.018316856526321e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020073267426105285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010036633713052642,0.0,0.0,0.0,0.0,0.0,0.011592311938575801,0.0,0.0,0.0,0.0,0.008480955487529482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206668",0.0,0.0,0.0,0.0,0.014778325123152709,0.041050903119868636,0.042692939244663386,0.0,0.0,0.026272577996715927,0.0,0.0016420361247947454,0.0,0.0,0.3218390804597701,0.029556650246305417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3842364532019704,0.0016420361247947454,0.0,0.0016420361247947454,0.0,0.0049261083743842365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054187192118226604,0.0,0.0016420361247947454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024630541871921183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04433497536945813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049261083743842365,0.0,0.0,0.0,0.0
"X206672",0.0,0.0,8.811349017534584e-05,0.0,0.0,0.0006167944312274209,0.0,0.0,0.0,0.0,0.0,0.0003524539607013834,0.0,0.0002643404705260375,0.16794431227420917,0.0,0.025200458190148912,0.0,8.811349017534584e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.4931712045114107,0.0,0.0042294475284166,0.00784210062560578,0.0,0.0,0.0,0.014714952859282756,0.0002643404705260375,0.0,0.0,0.0,0.0002643404705260375,0.0,0.0,0.000528680941052075,0.0,0.0,0.0,0.0,0.0,0.0,0.0006167944312274209,0.0,0.0,0.000528680941052075,0.0,0.0,0.0,0.0,0.0,0.0008811349017534585,0.0,0.0,0.0,0.0006167944312274209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002643404705260375,0.0,0.0,0.0,0.0,0.0001762269803506917,0.0,0.00105736188210415,8.811349017534584e-05,0.0,0.0,0.008106441096131818,0.0,0.0,0.25517666754780155,0.0,0.0,0.0008811349017534585,0.0,0.0,0.0013217023526301878,0.013657590977178606,0.0,0.0,0.0,0.0002643404705260375,0.0007930214115781126,0.0,0.0
"X206673",0.0,0.0005584252408208851,0.0,0.001326259946949602,0.0,0.16159430406254363,0.00020940946530783192,6.980315510261064e-05,0.0008376378612313277,6.980315510261064e-05,0.0,0.0,0.0,0.0,0.20319698450369958,0.026455395783889432,0.0016054725673600447,0.0,0.006631299734748011,0.0,0.0,0.0,0.0,0.0,0.0009074410163339383,0.39389920424403185,0.08020382521289962,0.008166969147005444,0.006980315510261063,0.0,0.0,0.0,0.0,0.0003490157755130532,0.0,0.0,0.0,0.0,0.0,0.0005584252408208851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026106380008376378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.980315510261064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041881893061566385,0.0,0.0,0.0,0.0,0.0,0.0005584252408208851,0.0,0.0,0.0,0.0,0.07720228954348736,0.0014658662571548234,0.0005584252408208851,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206682",0.007334963325183374,0.0,0.004889975550122249,0.0,0.0,0.33496332518337407,0.009779951100244499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2982885085574572,0.0,0.14180929095354522,0.0,0.009779951100244499,0.0,0.0,0.0,0.0,0.0,0.014669926650366748,0.05134474327628362,0.009779951100244499,0.04156479217603912,0.0,0.0,0.007334963325183374,0.02444987775061125,0.0,0.004889975550122249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014669926650366748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022004889975550123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
