"","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Corynebacteriaceae","uncultured","Pseudomonadaceae","Sphingomonadaceae","Lactobacillaceae","Rhodospirillaceae","Blastocatellaceae_Subgroup_4_","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Clostridiales_vadinBB60_group","WCHB1_32(class)","Burkholderiaceae","Family_XI","Leptotrichiaceae","Sphingobacteriaceae","Coriobacteriaceae","Bacteroidaceae","Porphyromonadaceae","Streptococcaceae","Flavobacteriaceae","Peptostreptococcaceae","Rikenellaceae","Opitutaceae","Fusobacteriaceae","Bifidobacteriaceae","Aerococcaceae","Actinomycetaceae","Caulobacteraceae","Defluviitaleaceae","Moraxellaceae","Hyphomicrobiaceae","Erysipelotrichaceae","Oxalobacteraceae","Cellulomonadaceae","Eubacteriaceae","Peptococcaceae","Cytophagaceae","Micrococcaceae","Gastranaerophilales(order)","Desulfovibrionaceae","Subgroup_6(class)","Methylobacteriaceae","Micromonosporaceae","Acidaminococcaceae","Anaerolineaceae","Thermoanaerobacteraceae","Chitinophagaceae","vadinBE97","Paenibacillaceae","Nocardioidaceae","Microbacteriaceae","Neisseriaceae","JG30_KF_CM45(order)","Rhizobiaceae","Victivallaceae","Intrasporangiaceae","Chloroplast(class)","Geodermatophilaceae","Staphylococcaceae","Campylobacteraceae","Bacteroidetes_vadinHA17(class)","Pasteurellaceae","Enterobacteriaceae","Carnobacteriaceae","Xanthomonadaceae","Solirubrobacteraceae","Bacillaceae","Roseiarcaceae","Verrucomicrobiaceae","uncultured(class)","Clostridiaceae_1","Methanobacteriaceae","SC_I_84(order)","Gemmatimonadaceae","Sanguibacteraceae","Cellvibrionaceae","Elev_16S_1332","Pseudonocardiaceae"
"X206713",0.0,0.0,0.00038153376573826786,9.538344143456696e-05,0.0,0.07220526516596719,0.00038153376573826786,0.0,4.769172071728348e-05,4.769172071728348e-05,4.769172071728348e-05,0.0,0.0,0.1838992750858451,0.0013353681800839375,0.0047691720717283476,0.0,0.0,0.0,0.00038153376573826786,0.0,0.0,0.0006676840900419688,0.619276993513926,0.09109118657001145,0.00109690957649752,9.538344143456696e-05,0.001478443342235788,0.00038153376573826786,0.0,0.005436856161770317,0.001001526135062953,0.0,0.00019076688286913393,0.0,0.0,0.0,0.0,0.0015261350629530714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011827546737886304,0.0,0.0,0.0,0.0016692102251049219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.538344143456696e-05,0.0005246089278901182,4.769172071728348e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206712",0.0,0.0,0.00041407867494824016,4.6008741660915574e-05,0.0,0.051759834368530024,0.0,0.0,4.6008741660915574e-05,0.0,0.0,0.0,0.0,0.31387163561076603,0.0007361398665746492,0.0034046468829077524,0.0,0.0,0.0,0.00041407867494824016,0.0,0.0,0.0023464458247066944,0.5458017023234415,0.04320220841959972,0.0011502185415228894,0.0,0.004278812974465148,0.0001840349666436623,0.0,0.00676328502415459,0.00280653324131585,0.0,0.00027605244996549346,0.0,0.0,0.00013802622498274673,0.0,0.008189556015642972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011180124223602485,0.0,0.0,0.0,0.0017483321831147918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6008741660915574e-05,0.00013802622498274673,0.0,0.00013802622498274673,0.0007361398665746492,9.201748332183115e-05,4.6008741660915574e-05,0.0,0.0,0.0,0.0,0.0,4.6008741660915574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206732",0.0,0.0192694728728643,0.45214747569905367,0.001798484134800668,0.0,0.23054853766111422,8.564210165717467e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.12088382648910204,0.014816083586691217,4.282105082858733e-05,0.0014987367790005566,0.0,0.0,4.282105082858733e-05,0.0,0.0,0.00042821050828587335,0.0781055967113433,0.016100715111548838,0.0,4.282105082858733e-05,0.0011133473215432707,0.015629683552434378,0.0,0.00034256840662869867,0.014473515180062518,0.0,0.0,0.0,8.564210165717467e-05,0.0,0.0,0.00449621033700167,0.000256926304971524,0.0,0.0,0.0,0.0,8.564210165717467e-05,0.0,0.006166231319316576,0.0,0.0,0.0,0.01494454673917698,0.0,4.282105082858733e-05,0.0,0.00017128420331434933,0.0,0.0,0.0,4.282105082858733e-05,0.0,0.0,0.0025264419988866526,0.0,0.0,0.0,4.282105082858733e-05,0.0,0.0,0.002697726202201002,0.0008564210165717467,8.564210165717467e-05,0.0,0.0,4.282105082858733e-05,0.0,0.0,0.0,0.0,8.564210165717467e-05,0.0,0.0,0.0,0.0,0.0,0.0
"X206731",0.0,0.016971808165910564,0.41060434219053793,0.0003240440699935191,0.0,0.29378645495787425,8.101101749837978e-05,0.0,0.00012151652624756967,0.0,0.0,0.0,0.0,0.11770900842514583,0.01069345430978613,0.0005670771224886585,0.0004050550874918989,0.0,0.0,0.000729099157485418,0.0,0.0,0.0004050550874918989,0.07849967595593,0.007655541153596889,0.01085547634478289,0.0,0.00012151652624756967,0.008425145819831496,0.0,0.0,0.015797148412184058,0.0,0.00012151652624756967,0.0,0.0,8.101101749837978e-05,0.0,0.006156837329876863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004617627997407648,0.0,0.0,0.0,0.01130103694102398,0.0,0.0,0.0,4.050550874918989e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.001053143227478937,0.0,0.0,0.0,0.0,0.0,0.0,0.0014176928062216462,4.050550874918989e-05,0.0012961762799740765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012151652624756967,0.0,0.0,0.0,0.0,0.0,0.0
"X206754",0.0003781433163168841,0.003923236906787673,0.006617508035545471,0.0006144828890149366,0.0,0.12039137833238797,0.00018907165815844205,0.0,0.0,0.0,0.0,0.00184344866704481,0.00018907165815844205,0.3539894119871431,0.020514274910190963,0.003970504821327283,0.00014180374361883155,0.0,0.0,0.00014180374361883155,0.0,0.0,0.00557761391567404,0.34878994138778596,0.006333900548307809,0.004017772735866894,0.0,4.726791453961051e-05,0.001370769521648705,4.726791453961051e-05,0.026611835885800718,0.009500850822461713,0.0,0.00014180374361883155,0.0,0.0,4.726791453961051e-05,0.0,0.03393836263944035,0.0,0.0008980903762525998,0.0,0.0,0.00018907165815844205,4.726791453961051e-05,0.0,0.007515598411798071,0.0003781433163168841,0.0006617508035545471,0.0016543770088863678,0.005199470599357156,0.0,0.0,0.0,0.0,0.0,0.0006144828890149366,4.726791453961051e-05,0.0007090187180941577,0.00018907165815844205,0.0003781433163168841,0.0,0.0,4.726791453961051e-05,0.00047267914539610514,0.0,0.0,0.0,0.027982605407449422,0.0024579315560597464,0.0,0.0,4.726791453961051e-05,0.0,0.0,0.00023633957269805257,0.0,0.00033087540177727357,0.00033087540177727357,0.0,0.0,0.0,0.0,9.453582907922102e-05,0.00018907165815844205
"X206762",0.0002993295019157088,0.0,0.0009578544061302681,0.0,0.0,0.06100335249042146,0.0026939655172413795,0.0,0.002334770114942529,0.0,0.0,0.0,0.0,0.39972461685823757,0.00035919540229885057,0.02490421455938697,0.0,0.0,0.0,0.0022150383141762453,0.0,0.0,0.0028735632183908046,0.3442887931034483,0.009578544061302681,0.0013170498084291188,0.0028735632183908046,0.0009578544061302681,0.0013170498084291188,0.0,0.0006585249042145594,0.003232758620689655,0.0,0.00023946360153256704,0.0,0.0,0.0,0.0,0.01532567049808429,0.0006585249042145594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.986590038314176e-05,0.0,0.0,0.0,0.0,0.0010775862068965517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06633141762452108,0.054477969348659006,0.00023946360153256704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206761",0.0,0.0,0.00034075904076330023,0.0,0.0,0.04625803978361801,4.259488009541253e-05,0.0,0.00012778464028623759,0.0,0.0,0.0,0.0,0.28998594368956854,0.0010222771222899007,0.019806619244366826,0.0,0.0,4.259488009541253e-05,0.00017037952038165011,0.0,0.0,0.003918728968777953,0.5209353835668953,0.014993397793585212,0.0014908208033394385,0.0,0.00025556928057247517,0.00034075904076330023,0.0,0.0005111385611449503,0.004429867529922903,4.259488009541253e-05,4.259488009541253e-05,0.0,0.0,4.259488009541253e-05,0.0,0.004941006091067853,0.0,0.0,0.0,0.0,0.0,8.518976019082506e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009370873620990757,0.0,0.0,0.0,0.0,0.0,0.0,8.518976019082506e-05,0.0,0.0,0.04523576266132811,0.04357456233760702,0.00021297440047706267,0.0,0.0,0.0,0.0,0.0,0.0,0.00012778464028623759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206770",0.0,0.0,0.03778946964169131,0.0001920196628134721,0.0006528668535658052,0.18053688697722647,0.00011521179768808326,0.0,0.0,0.0001536157302507777,0.0,0.0,3.840393256269442e-05,0.35454510541879486,0.0172049617880871,0.008640884826606245,0.0,7.680786512538885e-05,0.0,3.840393256269442e-05,0.0,0.0001920196628134721,0.000998502246630055,0.3489765351972042,0.017781020776527517,0.0011137140443181382,0.0001536157302507777,0.0004992511233150275,0.0003840393256269442,0.0,7.680786512538885e-05,0.0028802949422020814,0.0,7.680786512538885e-05,0.0,0.0,7.680786512538885e-05,0.0001920196628134721,0.008717692691731633,0.00011521179768808326,0.00011521179768808326,0.0,0.0,0.0004224432581896386,0.0,0.0,0.006912707861284995,0.0,0.0,0.0,0.0034563539306424976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001536157302507777,0.0,7.680786512538885e-05,0.0,0.0,7.680786512538885e-05,0.0,0.0,0.0018817926955720266,0.004109220784208303,7.680786512538885e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026882752793886094,0.0,7.680786512538885e-05,0.0001536157302507777,0.0,0.0
"X224330",0.0,0.00047824007651841227,0.07996174079387852,0.00033476805356288854,0.0,0.17230989956958392,0.006025824964131995,0.0,0.00028694404591104734,0.0,0.0,0.0,0.0,0.18077474892395984,0.05561932089909134,0.019320899091343855,0.0,0.0,0.0,0.00028694404591104734,0.0,0.0,0.0024868483978957435,0.40344332855093257,0.012242945958871354,0.0015303682448589192,0.004973696795791487,0.002821616451458632,0.0040650406504065045,0.0,0.0,0.00234337637494022,0.0,9.564801530368245e-05,0.0,0.0,0.0,0.0,0.005691056910569106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038737446197991392,0.00014347202295552367,0.0,0.0,0.0,0.0012434241989478718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005738880918220947,9.564801530368245e-05,0.0024868483978957435,0.0001912960306073649,0.0,0.0,0.0,0.0,0.0001912960306073649,0.00028694404591104734,0.03543758967001435,0.0,0.0,0.0003825920612147298,0.0,0.0,0.0,0.0
"X224325",0.0,0.001939719486720382,0.03547448522829006,0.0010817666368248284,0.0,0.21769621008654133,3.730229782154581e-05,0.0,7.460459564309162e-05,0.0,0.0,0.0,0.0,0.08019994031632348,0.029841838257236644,0.026484631453297523,0.0,0.0,0.0,0.0012309758281110117,0.00011190689346463742,0.0,0.0004849298716800955,0.3279245001492092,0.11328707848403462,0.005819158460161146,0.0,0.00014920919128618324,0.06415995225305879,0.0,0.0006714413607878246,0.00022381378692927484,0.0006714413607878246,0.0005222321695016413,0.0,0.0,3.730229782154581e-05,0.0,0.0041778573560131305,0.0,0.0,0.0,0.0,0.0,0.00022381378692927484,0.0,0.035660996717397794,0.0,3.730229782154581e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022381378692927484,0.0,0.0,0.0,0.0,0.0,0.0,3.730229782154581e-05,0.00041032527603700387,0.0,0.0006341390629662787,0.04826917338108028,0.0022008355714712028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
