Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,1.0,0.0,0.02733345821826943,0.047394166974926405
2,0.583651295874398,0.15845970978698,-0.015278105431974836,0.10129568847422393
3,0.639878208822148,0,-0.03224644587765812,0.05890522262463405
4,0.546130649540969,0.0975433890086479,-0.0371501274762095,0.09427793021449085
5,0.8449370492342,0.102386662194055,-0.03410622247486597,0.08053607130328666
6,0.89418443715179,0,-0.034807307455433,0.06784292381510927
7,0.535697390778947,0.208263417264014,-0.007252280975287746,0.12871678844909926
8,0.717236901492194,0.14705759068223,-0.02705491689804059,0.08712532150840671
9,0.310696373391379,0.596954451563809,-0.027486815345793218,0.050244360825594095
10,0.918864231226805,0.113161910596151,-0.014072981898985011,0.08646912179103684
11,0.917455303907939,0.0816030900703233,0.017955343701321007,0.07624389513776655
12,0.786396520926143,0.233990887700668,-0.030524111890080502,0.07544690387265185
13,0.854347804282208,0.0899033760841661,0.0026754620682232937,0.09465859124686217
14,0.796933424812303,0,-0.04072924482451166,0.0826992980206579
15,0.757606383305586,0.188404159910752,0.010973211051325923,0.1107636897610468
16,0.940089411081318,0,-0.04083032781369462,0.04788276548611538
17,0.423908166081554,0.404948321861752,-0.013496731927439849,0.1057249558967646
Averages,0.733412561877052,0.14251040980726756,-0.017417537955931466,0.08213104090603962
