"","x"
"1","Comamonadaceae"
"2","Sphingomonadaceae"
"3","Lachnospiraceae"
"4","Veillonellaceae"
"5","Clostridiales_vadinBB60_group"
"6","Actinomycetaceae"
"7","Moraxellaceae"
"8","Micrococcaceae"
"9","vadinBE97"
"10","Staphylococcaceae"
"11","Cellvibrionaceae"
