"","x"
"1","Run_SP154(order)"
"2","Ornithinimicrobium"
"3","Oscillibacter"
"4","Faecalibacterium"
"5","Alloscardovia"
"6","Coprococcus"
"7","Actinomyces"
"8","Anaerococcus"
"9","_Clostridium_innocuum_group"
"10","Butyricimonas"
"11","Plantactinospora"
"12","Enhydrobacter"
"13","Hydrotalea"
"14","Acidaminococcus"
"15","Haemophilus"
"16","Ruminococcaceae_UCG_004"
"17","Adlercreutzia"
