"","Tepidimonas","Christensenellaceae_R_7_group","Prevotella","Family_XIII_AD3011_group","Ruminiclostridium","Run_SP154(order)","Corynebacterium","uncultured","Pseudomonas","Ornithinimicrobium","Lactobacillus","Oscillibacter","Faecalibacterium","Lachnospiraceae_FCS020_group","Hungatella","Sutterella","Veillonella","Chryseobacterium","_Ruminococcus_gauvreauii_group","Ruminococcaceae_UCG_010","Faecalitalea","Clostridiales_vadinBB60_group(family)","Lactonifactor","Lachnospiraceae_UCG_001","Ruminococcaceae_UCG_003","Blautia","Gemella","Leptotrichia","Alloscardovia","Thermus","Sphingobacterium","Collinsella","Bacteroides","Porphyromonas","Butyricicoccus","Streptococcus","Intestinibacter","Paraprevotella","_Eubacterium_hallii_group","Ruminococcaceae_NK4A214_group","Alistipes","Catenisphaera","Fusobacterium","Bifidobacterium","Subdoligranulum","Coprococcus","Odoribacter","Abiotrophia","Actinomyces","Defluviitaleaceae_UCG_011","Acinetobacter","Capnocytophaga","Anaerococcus","Ruminococcaceae_UCG_014","Roseburia","Candidatus_Soleaferrea","Defluviicoccus","Ruminococcus","_Clostridium_innocuum_group","Tannerella","Anaerotruncus","_Eubacterium_brachy_group","Romboutsia","Anaerofustis","_Eubacterium_xylanophilum_group","Lachnospiraceae_NK4A136_group","Peptococcus","Ochrobactrum","Butyricimonas","Rothia","Solobacterium","Gastranaerophilales(order)","Desulfovibrio","Ruminococcaceae_UCG_013","Subgroup_6(class)","Jonquetella","Atopobium","Methylobacterium","Mollicutes_RF9(order)","Plantactinospora","Scardovia","Lachnoanaerobaculum","Phascolarctobacterium","Bacteroidales_S24_7_group(family)","Family_XIII_UCG_001","Tyzzerella","_Eubacterium_nodatum_group","Enhydrobacter","Erysipelatoclostridium","Parasutterella","Alloprevotella","Selenomonas","Megasphaera","Dorea","Atopostipes","_Eubacterium_coprostanoligenes_group","Dysgonomonas","Methanobacterium","Eikenella","Hydrotalea","Rhizobium","Cardiobacterium","Caulobacter","Ruminococcaceae_UCG_002","Barnesiella","Phenylobacterium","Lachnospiraceae(family)","Parvimonas","Lactococcus","Oribacterium","Peptostreptococcus","Lachnospiraceae_UCG_008","Chloroplast(class)","Acidovorax","Dialister","Thermicanus","Staphylococcus","Anaerostipes","Acidaminococcus","Campylobacter","Deinococcus","Lachnospira","Lachnoclostridium","Cloacibacterium","Haemophilus","Morganella","Haliangium","Aggregatibacter","Caloramator","PHOS_HE51(family)","Eubacterium","Catonella","Stenotrophomonas","Lysobacter","Erysipelotrichaceae_UCG_010","Ruminococcaceae_UCG_004","Proteus","Citrobacter","Stomatobaculum","Parabacteroides","Proteiniphilum","Bdellovibrio","Solirubrobacter","Allisonella","Turicibacter","Bacillus","Fusicatenibacter","DS","Mogibacterium","Dielma","Johnsonella","Catenibacterium","Adlercreutzia","Shuttleworthia","Pseudoclavibacter","Akkermansia","Flavonifractor","Eggerthella","Granulicatella","Candidatus_Stoquefichus","Lachnospiraceae_ND3007_group","Bilophila","Ruminococcaceae_UCG_005","Herminiimonas","Methanobrevibacter","Clostridium_sensu_stricto","uncultured(family)","_Eubacterium_rectale_group","Slackia","Devosia","Lachnospiraceae_UCG_010","Hafnia_Obesumbacterium","_Eubacterium_ventriosum_group","Holdemania","Holdemanella","Escherichia_Shigella","Rhodopseudomonas","_Ruminococcus_gnavus_group","Pseudoxanthomonas","Epulopiscium","_Eubacterium_eligens_group","Lawsonella","Erysipelotrichaceae_UCG_003","Thermoanaerobacterium"
"X206703",0.0,0.0005877167205406994,0.0001763150161622098,0.0,0.002468410226270937,0.0,0.0,0.007052600646488392,5.877167205406994e-05,0.0,0.0012929767851895385,0.0,0.05130766970320306,0.0,5.877167205406994e-05,0.0,0.005994710549515133,0.0,0.00011754334410813987,0.0,5.877167205406994e-05,0.0,5.877167205406994e-05,0.0004701733764325595,0.00011754334410813987,0.01892447840141052,0.0004701733764325595,0.0,0.0,0.0,0.0,0.0001763150161622098,0.4364972083455774,0.0,0.0007052600646488392,0.008521892447840141,0.0015280634734058183,0.0,0.015398178078166324,0.0011754334410813989,0.006112253893623273,0.0,0.000999118424919189,0.0006464883925947693,0.014928004701733765,0.002585953570379077,0.0,0.0,5.877167205406994e-05,5.877167205406994e-05,0.00011754334410813987,0.0,5.877167205406994e-05,0.0,0.005994710549515133,0.0,0.0,0.006582427270055833,0.0003526300323244196,0.0,0.0,0.00011754334410813987,0.0002938583602703497,0.0,0.001057890096973259,0.004114017043784896,0.0,0.0,0.0,5.877167205406994e-05,0.0,0.0,0.0,0.0004701733764325595,0.0,0.0,0.0001763150161622098,5.877167205406994e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.877167205406994e-05,0.0,5.877167205406994e-05,5.877167205406994e-05,0.00887452248016456,0.0,0.0,0.013282397884219806,0.002585953570379077,0.0,0.0011754334410813989,0.0,0.0,0.00023508668821627975,0.0,5.877167205406994e-05,5.877167205406994e-05,0.0,0.0001763150161622098,0.0,0.0,0.0,0.0002938583602703497,0.0,0.0,0.0,0.03097267117249486,0.0,0.0,0.015868351454598882,0.0,0.0001763150161622098,0.015692036438436672,0.0,0.0,0.0,0.0033499853070819863,0.008051719071407582,0.0,0.034087569791360565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001763150161622098,0.0,0.0,0.0,0.0989127240669997,0.0,0.0,0.0,0.0005877167205406994,0.00023508668821627975,0.0,0.0031736702909197765,0.0,0.0,5.877167205406994e-05,0.0,0.0,0.0,0.0,0.0,0.002115780193946518,0.010049955921245959,0.0,0.00011754334410813987,0.0,0.0003526300323244196,0.007170143990596532,0.0003526300323244196,0.0,0.0,0.0003526300323244196,0.0,0.12365559800176315,0.0,0.0,0.0,0.0,0.001939465177784308,0.00041140170437848955,0.0,0.008404349103732,0.00011754334410813987,0.006758742286218043,0.0,0.0,0.001880693505730238,0.0,0.0,0.0
"X206752",0.0,0.0007497857754927164,0.0,3.570408454727221e-05,0.0021065409882890605,0.0,0.0,0.011496715224221651,7.140816909454442e-05,0.0,0.003606112539274493,0.0,0.2101899457297915,0.0,0.0,0.006283918880319908,0.0021065409882890605,0.0,3.570408454727221e-05,0.0,0.0,0.001178234790059983,3.570408454727221e-05,0.0009283061982290774,0.005891173950299915,0.007962010854041702,0.0,0.0,3.570408454727221e-05,0.0,0.0,0.00014281633818908883,0.3306555269922879,0.0,0.0007140816909454442,0.014460154241645245,0.001035418451870894,0.0,0.00485575549842902,0.0004641530991145387,0.08526135389888603,0.0009640102827763496,0.00021422450728363326,0.001178234790059983,0.02634961439588689,0.008783204798628963,0.0,0.0,3.570408454727221e-05,0.0,0.00017852042273636104,0.0,0.0,0.0,0.004748643244787204,0.0,0.0,0.024171665238503285,0.0,0.0,7.140816909454442e-05,7.140816909454442e-05,0.00014281633818908883,3.570408454727221e-05,0.0,0.004784347329334476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004641530991145387,0.0,0.0,0.0,0.0,0.001178234790059983,0.0,0.00010711225364181663,0.0,0.0,0.0,0.0,0.00010711225364181663,7.140816909454442e-05,0.0,3.570408454727221e-05,0.0006069694373036275,0.0,0.0,0.03406169665809768,0.004320194230219937,0.0,0.00403456155384176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005712653527563553,0.0,0.0,0.0,3.570408454727221e-05,0.0,0.0,0.0,0.013281919451585262,0.0,3.570408454727221e-05,0.01924450157097972,0.0,3.570408454727221e-05,0.001713796058269066,0.0,0.0,0.0,0.0,0.00242787774921451,0.0,0.0014638674664381604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021422450728363326,0.0,3.570408454727221e-05,0.0,0.048878891745215654,0.0,0.0,0.0,0.0003927449300199943,0.0,0.0,0.004427306483861753,0.0,3.570408454727221e-05,0.0,0.0,0.0003570408454727221,0.0,0.0,0.0,0.04691516709511568,0.0030348471865181375,0.0,0.00014281633818908883,0.0,0.00014281633818908883,0.0057483576121108255,0.0023207654955726934,0.0,0.0,0.00021422450728363326,0.0,0.03452584975721223,0.0,0.0,0.0,3.570408454727221e-05,0.0005355612682090831,0.00021422450728363326,0.0,0.0002499285918309055,0.0,0.002356469580119966,0.0,0.0,0.0033561839474435876,3.570408454727221e-05,0.0,0.0
"X206710",0.0,0.0,0.05520749917565594,0.0,0.0016957934900372132,0.0,0.0,0.0015073719911441895,0.0002355268736162796,4.710537472325592e-05,0.0,0.0,0.27179801215318666,0.0,0.0,0.0,0.0014602666164209336,0.0,0.0008478967450186066,0.0,0.0004239483725093033,0.0,0.0,0.00037684299778604737,0.0,0.011964765179707005,0.0022139526119930282,0.0,0.0,0.0,0.0,0.003674219228413962,0.3275707758255217,0.0,4.710537472325592e-05,0.005040275095388384,0.0015544773658674456,0.0,0.008149229827123275,0.0005181591219558152,0.0035329031042441944,0.0,0.0005181591219558152,0.006265014838193038,0.0034386923547976823,0.004098167600923265,9.421074944651184e-05,0.0,4.710537472325592e-05,0.0,4.710537472325592e-05,0.0,0.0,0.0,0.0007536859955720947,0.0,0.0,0.0,0.00028263224833953557,0.0,0.0,0.0,0.0,0.0,0.00032973762306279144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014131612416976778,0.0,0.0,9.421074944651184e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009185548071034905,4.710537472325592e-05,0.0,0.00014131612416976778,0.0,0.0,0.0,0.0,0.008714494323802346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018842149889302368,0.0,0.0,0.0,0.0008950021197418626,0.0,0.0,9.421074944651184e-05,0.0015073719911441895,0.0,0.0,0.049036695086909415,0.0,9.421074944651184e-05,0.09444627632012813,0.0,0.0,0.0,0.0,0.0010363182439116303,0.0,0.0010834236186348862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005181591219558152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007442649206274436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006265014838193038,4.710537472325592e-05,0.0016486881153139573,0.0,0.0023081633614395404,0.007112911583211644,0.0004239483725093033,0.0,0.0,0.0,0.0,0.04343115549484196,9.421074944651184e-05,0.0,0.0,0.0,0.0008478967450186066,0.00014131612416976778,0.0,0.00014131612416976778,0.0,0.03349192142823496,0.0,0.0,0.0007065806208488389,0.0,0.014932403787272128,0.0
"X206718",0.0,6.192717364379489e-05,6.192717364379489e-05,0.00012385434728758978,0.0010527619519445132,0.0,0.0,0.007493188010899182,0.0,0.0,6.192717364379489e-05,0.0,0.21086202625712164,0.0,0.0,6.192717364379489e-05,0.0025390141193955907,0.0,0.00030963586821897447,0.0,0.0009289076046569235,0.0,0.0,0.00012385434728758978,0.0,0.0008669804310131286,0.0,0.0,0.0,0.0,0.0,0.0,0.5185162249194947,0.0,0.00012385434728758978,0.0003715630418627694,0.0017339608620262571,0.0,0.007617042358186772,0.00030963586821897447,0.0003715630418627694,0.0,0.0,0.0003715630418627694,0.0008050532573693337,0.0021674510775328212,0.0,0.0,6.192717364379489e-05,0.0,0.0,0.0,0.0,0.0,0.024213524894723806,0.0,0.0,0.00619271736437949,0.0001857815209313847,0.0,0.0,0.0,6.192717364379489e-05,0.0,0.000557344562794154,0.045206836759970274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003653703244983899,0.0,0.0,0.0,0.004892246717859797,0.0,0.0,0.0,0.0,0.0,6.192717364379489e-05,0.0,0.0,0.0,0.000557344562794154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004025266286846668,0.0,0.0,0.00012385434728758978,0.0,0.00012385434728758978,0.033564528114936834,0.0,0.0,0.0,0.001176616299232103,0.001795888035670052,0.0,0.00030963586821897447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001857815209313847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016162992321030467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192717364379489e-05,0.00024770869457517957,6.192717364379489e-05,6.192717364379489e-05,0.0,6.192717364379489e-05,0.002972504334902155,0.0,0.0,0.0,0.00012385434728758978,0.0,0.05505325736933366,0.0,0.0,0.0,0.0,0.0,6.192717364379489e-05,0.0,0.0001857815209313847,0.0,0.03059202378003468,0.0,0.0,0.006626207579886054,0.0,0.0038394847659152837,0.0
"X206725",0.0,0.0,0.00045122960066180343,0.00011280740016545086,0.00045122960066180343,0.0,0.0,0.009175001880123336,0.0,0.0,0.0,0.0,0.3442505828382342,0.0,0.0,0.0,0.0025193652703617356,0.0,0.0,0.0,0.0006392419342708882,0.0,3.760246672181695e-05,0.00033842220049635255,0.0006768444009927051,0.018688425960743025,0.0,0.0,0.0,0.0,0.0,0.0,0.29589381063397757,0.0,0.0007896518011581559,0.00022561480033090172,0.0033466195382417085,0.0,0.027336993306760923,0.0,0.0041362713393998645,0.0,0.020568549296833872,0.00018801233360908476,0.011280740016545086,7.52049334436339e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0003760246672181695,0.0007896518011581559,0.006204407009099797,7.52049334436339e-05,0.0,0.0004888320673836204,3.760246672181695e-05,0.0,0.0,0.0008272542678799729,0.0,0.0001504098668872678,0.0,0.0025945702038053698,7.52049334436339e-05,0.0,0.0,0.0,0.0,0.0,0.00018801233360908476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012032789350981425,0.0,0.0,3.760246672181695e-05,0.0,0.0,0.0,0.0,0.0025945702038053698,0.0,0.0,0.0,0.0,0.00011280740016545086,0.0,0.0,0.0,0.0,0.0014288937354290441,0.0,0.0,0.0,0.0028577874708580883,0.0,0.0,3.760246672181695e-05,0.05377152741219824,0.0,0.0,0.004775513273670753,0.0,3.760246672181695e-05,0.033090170715198916,0.0,0.0009024592013236069,0.0,0.005941189742047079,0.002406557870196285,0.0,0.00011280740016545086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018801233360908476,0.0,3.760246672181695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001504098668872678,0.0,0.006242009475821614,0.0,0.0,0.0,0.0,0.0,3.760246672181695e-05,0.0,0.0,0.0,0.0006768444009927051,3.760246672181695e-05,3.760246672181695e-05,3.760246672181695e-05,0.0025945702038053698,0.0,0.0,0.0,0.0,0.0008272542678799729,0.0,0.1064901857561856,0.0,0.0,0.0,0.0,0.00011280740016545086,3.760246672181695e-05,0.0,0.00925020681356697,0.0,0.007558095811085208,0.0,0.0,0.0008648567346017899,0.0,0.0025193652703617356,0.0
"X206729",6.578081831337982e-05,0.0,0.024338902775950532,0.0,0.0,0.0,0.0006578081831337982,0.0,0.0004604657281936587,0.0,0.0,0.0,0.0004604657281936587,0.0,0.0,6.578081831337982e-05,0.044336271543217995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008354163925799237,0.002565451914221813,0.0,0.0003946849098802789,0.0,0.0,0.037231943165372976,6.578081831337982e-05,0.0,0.08525194053414024,0.008156821470859098,0.0,0.0,0.0,0.0,0.0,0.008683068017366137,0.0,0.0,0.0,0.0,0.0,0.0041441915537429284,0.0,0.0,0.0009867122747006974,0.0,0.0032890409156689907,0.0,0.0,0.0,0.0,0.0,0.001776082094461255,0.0,6.578081831337982e-05,0.0,0.0,0.0,0.0,0.003223260097355611,0.0,0.0,0.0002631232732535193,0.0004604657281936587,0.0,0.0,0.0,0.0,0.0,0.004736218918563347,0.0,0.0,0.0,0.0,0.0010524930930140772,0.0,0.0,0.0,0.010524930930140772,0.0018418629127746348,0.0,0.002631232732535193,0.0,0.0024338902775950535,0.0002631232732535193,0.010524930930140772,0.0,0.0,0.0,0.0,0.0,0.0018418629127746348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015129588212077357,0.0,0.0015129588212077357,0.0006578081831337982,0.0,0.0,0.00013156163662675965,0.0,0.0,6.578081831337982e-05,0.0,0.0,0.0005920273648204184,0.0,0.0,0.0,0.0,0.0005920273648204184,0.0,0.0,0.0,0.0,0.0,0.0,0.0003289040915668991,0.0,0.0,0.0,0.0,0.0,0.0,0.003881068280489409,0.0,0.0,0.00019734245494013944,0.0,0.0,0.0,0.00013156163662675965,6.578081831337982e-05,0.0,0.0008551506380739376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017234574398105513,0.0,0.0,0.0,0.0,0.0,0.0,0.32390474937508223,0.0,0.003946849098802789,0.0,0.0,0.0,6.578081831337982e-05,0.0,0.0,0.0,0.30923562689119855,0.0,0.06393895540060518,0.0,0.0,0.0,0.0,0.0,0.0
"X206738",0.0,0.0002263083451202263,0.00039603960396039607,0.0012446958981612447,0.003620933521923621,0.0,0.0,0.017934936350777936,0.0013578500707213579,0.0,0.0,0.0,0.2875813295615276,0.0,0.0,0.0,0.0008486562942008486,0.0002263083451202263,0.0,0.0,0.0,0.0,0.0,0.0028854314002828853,0.0004526166902404526,0.020424328147100424,0.0020933521923620934,0.0,0.0,0.00016973125884016973,0.0,0.0009052333804809052,0.18268741159830268,0.00016973125884016973,0.0,0.009052333804809052,0.012786421499292787,0.0,0.013521923620933522,0.00039603960396039607,0.007977369165487977,0.0,0.0013578500707213579,0.002772277227722772,0.02115983026874116,0.006676096181046676,0.0,0.00011315417256011315,0.0,0.0,0.0002828854314002829,0.0,0.0,0.0,0.018613861386138613,0.00033946251768033947,0.0,0.0075247524752475245,0.0,0.0,0.0,0.00016973125884016973,5.6577086280056576e-05,0.0,0.0033946251768033945,0.004243281471004243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006223479490806223,0.0,0.0005657708628005657,0.0,0.0,0.0,0.0,0.0,0.0,0.00446958981612447,5.6577086280056576e-05,0.0,0.0,0.0,0.0,0.00033946251768033947,0.020594059405940595,0.0,0.0,0.001074964639321075,0.005657708628005658,0.0,0.0004526166902404526,0.0,0.0,0.0,0.0,0.0002828854314002829,0.0,0.0,0.009165487977369165,0.0,5.6577086280056576e-05,0.0,0.0,0.0002263083451202263,0.0,0.0,0.008826025459688826,0.0007920792079207921,0.0,0.007355021216407355,0.0,0.0034512022630834513,0.04011315417256011,0.015558698727015558,0.0,0.0,0.00628005657708628,0.0022065063649222066,0.0,0.001867043847241867,0.0,0.0,0.0015841584158415843,0.0,0.0,0.0,0.0,5.6577086280056576e-05,0.00033946251768033947,0.0,0.0006789250353606789,0.0,0.00011315417256011315,0.0,0.0736067892503536,0.0,0.0,0.00011315417256011315,0.0,0.0,0.0,0.010127298444130127,0.0,0.0,0.0,0.0,0.0,0.0,5.6577086280056576e-05,0.0,0.00011315417256011315,0.00039603960396039607,5.6577086280056576e-05,0.004186704384724187,0.0,0.0027157001414427158,0.0063932107496463934,0.0,0.0,0.0,0.0035077793493635077,0.0,0.0971994342291372,0.0,0.00033946251768033947,0.0,0.0,0.00011315417256011315,0.00011315417256011315,0.0,0.0019801980198019802,0.0,0.02297029702970297,0.0,0.0,0.0042998585572843,0.0,0.0052616690240452615,0.0
"X206740",0.00012193634922570419,0.0022558224606755274,0.0,0.00036580904767711256,0.012437507621021826,0.0,0.0,0.014754298256310206,0.0,0.0,0.0,0.0,0.15876112669186684,0.0,0.0,0.01749786611388855,0.00018290452383855628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00408486769906109,0.02743567857578344,0.00036580904767711256,0.0,0.0,0.0,0.0,0.00042677722228996463,0.4198268503840995,0.0,0.0012193634922570418,0.0007925862699670772,0.00042677722228996463,0.002133886111449823,0.005731008413608097,0.0017680770637727107,0.02767955127423485,0.0,0.0005487135715156688,0.0014632361907084503,0.023777588099012315,0.004328740397512499,0.00493842214364102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007560053651993659,0.0,0.0,0.013047189367150347,0.0,0.0,6.0968174612852094e-05,0.0,0.0,0.00018290452383855628,0.0015242043653213022,0.02737471040117059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004633581270576759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013169125716376053,0.0,0.0009145226191927813,0.0006096817461285209,0.00042677722228996463,0.0,0.0,0.0,0.0006096817461285209,0.00036580904767711256,0.000670649920741373,0.0,0.0,0.00012193634922570419,0.0,0.0,0.0,0.0,0.0349957322277771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024570174368979392,6.0968174612852094e-05,0.0,0.013961711986343129,0.0,0.0,0.005121326667479576,0.0,0.0,0.0,0.0024387269845140835,0.004999390318253871,0.0,6.0968174612852094e-05,0.0012193634922570418,0.0,0.0,0.0,0.0,0.00042677722228996463,0.0,0.0,0.0,0.00030484087306426044,0.0008535544445799293,0.0,0.0,0.0,0.011035239604926228,0.0,0.0,0.0,0.0,0.0,0.0,0.015607852700890136,0.0,0.0,0.0,0.0,0.0,6.0968174612852094e-05,0.0,0.0,0.0,0.0018290452383855627,0.00018290452383855628,0.0,0.00036580904767711256,0.003962931349835386,0.007377149128155103,0.0005487135715156688,0.0,0.0,0.00018290452383855628,0.0,0.05157907572247287,6.0968174612852094e-05,0.0,0.0,0.0,0.0024387269845140835,6.0968174612852094e-05,0.0,0.0012193634922570418,0.0,0.008901353493476405,0.0,0.0,0.00030484087306426044,0.0,0.000670649920741373,0.0
"X206743",0.0003810814243976796,0.0002963966634204175,0.0026252275902951265,0.00025405428293178643,0.005292797561078884,0.00012702714146589321,0.00016936952195452428,0.02095947834187238,0.00021171190244315537,0.0,0.0,0.0,0.039336071473938264,0.0,0.0,0.0,0.0034720752000677478,0.0,0.0,0.0,0.00012702714146589321,0.0,0.0009315323707498836,0.0,0.0,0.01071262226362366,0.0002963966634204175,0.0009738747512385147,0.0,0.0,0.00012702714146589321,0.0010162171317271457,0.5529914891815217,0.0,0.0010585595122157767,0.012872083668543845,0.00025405428293178643,0.0,0.001143244273193039,0.0022018037854088157,0.04962526993267562,0.0,0.0008891899902612525,0.000592793326840835,0.04111445145446077,0.0005081085658635729,0.0015666680780793496,0.0,0.0003810814243976796,0.0,0.0,0.0,0.0,0.00016936952195452428,0.001143244273193039,0.0,8.468476097726214e-05,0.0,4.234238048863107e-05,0.0,0.0014819833171020875,0.0,0.0004657661853749418,0.0,0.0,0.0027945971122496508,0.0,0.0,0.0,8.468476097726214e-05,8.468476097726214e-05,0.0,0.0032603632976245926,0.00012702714146589321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012702714146589321,8.468476097726214e-05,0.0,0.0,0.0,8.468476097726214e-05,0.0,0.0,0.008891899902612525,0.0,0.0,0.007833340390396747,0.0016513528390566118,0.0,0.0015243256975907185,0.0,8.468476097726214e-05,0.0,0.0,0.0,0.0,0.0,0.002582885209806495,0.0,0.0,0.0,0.0,0.0,0.0008468476097726215,0.0,0.010500910361180506,0.0,0.0,0.01028919845873735,0.00021171190244315537,0.0,0.004234238048863107,4.234238048863107e-05,0.0,8.468476097726214e-05,0.00012702714146589321,0.0008891899902612525,0.00033873904390904855,8.468476097726214e-05,0.0,0.00012702714146589321,0.0,0.0,0.0,0.0008468476097726215,0.0,0.0,0.0,0.0,0.0007198204683067282,0.0,4.234238048863107e-05,0.0008891899902612525,0.06512258119151458,0.000592793326840835,0.0,0.0,0.0,0.0,0.00012702714146589321,0.0027099123512723884,0.0003810814243976796,0.0,0.0,0.0005504509463522039,0.0,0.0,0.0,0.0005081085658635729,0.04327391285938095,0.0043189228098403695,0.00012702714146589321,0.0008468476097726215,0.0002963966634204175,0.0008468476097726215,0.0,0.0013972985561248254,8.468476097726214e-05,0.0008891899902612525,0.0003810814243976796,8.468476097726214e-05,0.05165770419612991,0.0,0.0,0.0,0.0,0.0,0.00025405428293178643,0.0,0.0013972985561248254,0.0,0.006647753736715078,0.00012702714146589321,0.0,0.0019054071219883981,0.0,8.468476097726214e-05,0.0
"X224323",0.00010112245929821013,5.056122964910506e-05,0.011022348063504904,0.0,0.00020224491859642025,0.0,0.0,0.010921225604206695,5.056122964910506e-05,0.0,0.0,0.0,0.19440792800080897,0.0,0.0,0.04540398422489635,0.0009101021336838912,0.0,5.056122964910506e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0008595409040347862,0.00020224491859642025,0.0,0.0,0.0,0.0,0.0,0.47841035493983214,0.0,0.0010617858226312064,0.0071796946101729195,5.056122964910506e-05,0.0,0.002426939023157043,0.0,5.056122964910506e-05,0.0,0.0004044898371928405,0.000758418444736576,0.01719081808069572,0.0034887248457882497,0.0,0.0,0.0001516836889473152,0.0,0.0,0.0,0.0,0.0,0.0011629082819294165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007078572150874709,0.0,0.0,0.006067347557892608,0.0,0.0,0.0,5.056122964910506e-05,0.0006067347557892608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.056122964910506e-05,0.0,0.0,0.016836889473151987,0.0,0.0,0.0,0.0,0.0,0.0004550510668419456,0.0,0.0,0.0,0.0004044898371928405,0.007230255839822024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025280614824552534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006926888461927394,0.0,0.0,0.0,0.0,5.056122964910506e-05,0.00379209222368288,0.0,5.056122964910506e-05,0.0,0.0005561735261401557,0.000758418444736576,5.056122964910506e-05,0.0006572959854383659,0.0,0.0,0.0,0.0,0.00010112245929821013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.056122964910506e-05,0.0004550510668419456,0.0,0.0,0.0,0.0,0.0,0.0,0.006370714935787238,0.0,0.0,0.0,0.0,0.0007078572150874709,0.0,0.0,0.0,5.056122964910506e-05,0.0,0.00025280614824552534,0.00010112245929821013,0.0,0.00010112245929821013,0.0017190818080695723,0.0,0.0,0.0,0.0004550510668419456,0.0,0.10152694913540297,0.0,0.0,0.0004550510668419456,0.0,0.0,0.0,0.00020224491859642025,0.05410051572454242,0.0,0.011325715441399535,0.0,0.0,0.0,0.0,0.0,0.0
