"","x"
"1","Lactobacillales"
"2","Rhodospirillales"
"3","Erysipelotrichales"
"4","NB1_n"
"5","Subgroup_6(class)"
"6","Campylobacterales"
"7","Rickettsiales"
"8","Deinococcales"
"9","Cytophagales"
"10","Thermoplasmatales"
"11","Solirubrobacterales"
