Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.750080349851874,0.133545660406351,-0.00420285298846129,0.13337642639167033
2,0.665874137186207,0.244865070263958,0.021950403642087783,0.17258653145658437
3,0.949546393178446,0,-0.05686713867300177,0.05777442180089833
4,0.730281601207299,0.235891066701312,-0.026913545072739832,0.10726510607857787
5,0.993307265220322,0,-0.04318058707108248,0.0626688217598598
6,0.61303809125941,0.185066616579776,0.05366645419344225,0.16706612730431925
7,0.621922487666004,0.174318960206913,0.0019045089835900905,0.1503213847582258
8,0.913836141056749,0.0766992689256433,-0.021900265725121174,0.10140378430360864
9,0.730039460442309,0.233792685276315,-0.008787918106020861,0.10851618303523256
10,0.730651478920259,0,0.01297172860686983,0.12825710895067385
11,0.740204274286959,0.178292238888976,0.0046348057219301395,0.12227943422729799
Averages,0.767161970934167,0.1329519606590222,-0.006065855135318848,0.11922866636972261
