OTU,LDA_score,CLass
Romboutsia,5.618825556539569,CD
Corynebacterium,6.455297290302664,CD
Akkermansia,7.247326051805271,CD
Clostridium_sensu_stricto,7.249806874396017,CD
Prevotella,7.900321328696927,CD
Gelria,3.833051738805794,UC
Senegalimassilia,3.8918551552625185,UC
vadinBE97__family__,4.138186276971764,UC
Negativicoccus,4.797634499043361,UC
Candidatus_Soleaferrea,4.9280478844405256,UC
Victivallis,5.35086490656841,UC
Holdemania,5.640872115750259,UC
Lachnospiraceae_ND3007_group,5.724879816908652,UC
Hungatella,5.866267189918392,UC
Lachnospiraceae_UCG_001,5.876309673833814,UC
Intestinibacter,6.04318082695462,UC
Ruminococcaceae_NK4A214_group,6.115425499744819,UC
Butyricicoccus,6.242288635960385,UC
Ruminococcaceae_UCG_013,6.292579449093732,UC
Collinsella,6.30915744390031,UC
f__Eubacterium_ventriosum_group,6.319121833647167,UC
Ruminococcaceae_UCG_005,6.4348251084547945,UC
Barnesiella,6.722050727602144,UC
Parasutterella,6.780162243172805,UC
f__Eubacterium_xylanophilum_group,7.003490882252146,UC
Coprococcus,7.08861272651746,UC
Lachnospira,7.247081894275324,UC
Lachnospiraceae_UCG_010,7.264719934691699,UC
f__Eubacterium_hallii_group,7.366807448628311,UC
Prevotellaceae_NK3B31_group,7.64531222482416,UC
Roseburia,7.706883898162353,UC
Parabacteroides,7.84656571782725,UC
Oscillibacter,4.963539531384227,nonIBD
Candidatus_Stoquefichus,5.257158111541279,nonIBD
Lactonifactor,5.3585155737198145,nonIBD
Eubacterium,5.453882594530662,nonIBD
Ruminococcaceae_UCG_004,5.728428229725641,nonIBD
Faecalitalea,5.897194216804902,nonIBD
Clostridiales_vadinBB60_group__family__,5.897688040060087,nonIBD
f__Eubacterium_eligens_group,6.157772913825237,nonIBD
Ruminococcus,6.380227651659249,nonIBD
f__Eubacterium_coprostanoligenes_group,6.449616493148462,nonIBD
Fusicatenibacter,6.816596842398463,nonIBD
Bifidobacterium,7.234346977081178,nonIBD
