OTU,LDA_score,CLass
Actinomyces,5.412237036128081,CD
Actinomycetaceae,5.414918487874697,CD
Actinomycetales,5.423554454489154,CD
Bifidobacterium,5.8263395736353445,CD
Bifidobacteriales,5.833957892419192,CD
Bifidobacteriaceae,5.846897327989784,CD
Collinsella,5.96990569462578,CD
Ruminococcaceae_NK4A214_group,6.028655603206227,CD
Coriobacteriia,6.029869662886644,CD
Coriobacteriaceae,6.030153510180396,CD
Coriobacteriales,6.030397771256394,CD
Lachnospiraceae_UCG_001,6.038052484980101,CD
Melainabacteria,6.188464116342305,CD
Gastranaerophilales,6.219656732575804,CD
Gastranaerophilales__order__,6.270081892418625,CD
f__Eubacterium_hallii_group,6.339085039944796,CD
f__Eubacterium_coprostanoligenes_group,6.34502098357495,CD
Streptococcaceae,6.584414744679991,CD
Streptococcus,6.594427098718847,CD
Bilophila,6.611604441095119,CD
Odoribacter,6.672102425956229,CD
Lachnospiraceae_UCG_008,6.6812079691637125,CD
Flavonifractor,6.845511024666117,CD
Subdoligranulum,6.883778862459226,CD
Deltaproteobacteria,7.048471585735193,CD
Desulfovibrionales,7.071775981917041,CD
Desulfovibrionaceae,7.077353136769151,CD
Alcaligenaceae,7.107473815151684,CD
Rikenellaceae,7.133468291141698,CD
Alistipes,7.133512334750651,CD
Roseburia,7.196333639072247,CD
Phascolarctobacterium,7.299676502955191,CD
Acidaminococcaceae,7.887678374744586,CD
Family_XIII_AD3011_group,5.369258166399626,UC
Verrucomicrobiae,6.302925178288857,UC
Verrucomicrobia,6.309932749765106,UC
Akkermansia,6.3130219010990425,UC
Verrucomicrobiaceae,6.3350379140077635,UC
Verrucomicrobiales,6.367580225259935,UC
Tyzzerella,6.482545652852385,UC
Haemophilus,6.9654080698033365,UC
Pasteurellales,6.996303481807681,UC
Pasteurellaceae,7.046893849583283,UC
Burkholderiales,7.275152142413065,UC
Lachnospiraceae_FCS020_group,3.1857583031680337,nonIBD
Stomatobaculum,3.4736820330316265,nonIBD
f__Ruminococcus_gauvreauii_group,3.608954883352896,nonIBD
Gelria,3.941566060427719,nonIBD
Thermoanaerobacterales,3.941610991201706,nonIBD
Thermoanaerobacteraceae,3.941617605118578,nonIBD
Oscillibacter,4.3127202390804715,nonIBD
Ruminococcaceae_UCG_010,4.313568312633117,nonIBD
Anaeroglobus,4.3271382776569896,nonIBD
Victivallis,4.515383306475273,nonIBD
Methanobrevibacter,4.570013206267314,nonIBD
Victivallaceae,4.588935915588262,nonIBD
Lentisphaeria,4.663975164262538,nonIBD
Victivallales,4.663976383732285,nonIBD
Lentisphaerae,4.6639768060476055,nonIBD
Atopobium,4.671778970610791,nonIBD
Clostridiales_vadinBB60_group,4.753264282121628,nonIBD
Clostridiales_vadinBB60_group__family__,4.753264504936154,nonIBD
Anaerofilum,4.839282112092344,nonIBD
Howardella,4.9550025391358075,nonIBD
Family_XIII_UCG_001,4.996317487159952,nonIBD
Family_XIII,5.449592270632962,nonIBD
f__Eubacterium_ventriosum_group,5.536192062738265,nonIBD
Erysipelotrichaceae_UCG_003,5.744281847334206,nonIBD
Dorea,5.756994889161981,nonIBD
Butyricicoccus,5.784764648659033,nonIBD
Bacillales,5.941880798172988,nonIBD
Mollicutes_RF9,6.011351119134536,nonIBD
Mollicutes_RF9__order__,6.011351124332144,nonIBD
Mollicutes,6.011353722607509,nonIBD
Tenericutes,6.01135372540645,nonIBD
Lachnospiraceae_ND3007_group,6.034878069213281,nonIBD
Christensenellaceae_R_7_group,6.0583887323295675,nonIBD
Christensenellaceae,6.060876110501695,nonIBD
Anaerotruncus,6.102760931651912,nonIBD
Lachnospira,6.242103799385359,nonIBD
Ruminococcaceae_UCG_005,6.2502009823531,nonIBD
f__Eubacterium_eligens_group,6.262826380250287,nonIBD
Ruminococcaceae_UCG_014,6.271635855062283,nonIBD
Barnesiella,6.30615257114358,nonIBD
Neisseriales,6.311069709777215,nonIBD
Eikenella,6.311069716579601,nonIBD
Neisseriaceae,6.311069756469536,nonIBD
Fusicatenibacter,6.428843177417214,nonIBD
Anaerostipes,6.566949861003807,nonIBD
Ruminococcus,6.585109004252683,nonIBD
Ruminococcaceae_UCG_003,6.61005639945839,nonIBD
Lachnospiraceae_UCG_010,6.615079916721601,nonIBD
Ruminococcaceae_UCG_002,6.650044201576828,nonIBD
Coprococcus,6.706781879342173,nonIBD
Parabacteroides,6.7369950049532985,nonIBD
Rhodospirillales,6.7668330994563615,nonIBD
Sutterella,6.925988515919969,nonIBD
uncultured,7.010194021512512,nonIBD
