"","x"
"1","Rhodobacterales"
"2","Coriobacteriales"
"3","NB1_n"
"4","Campylobacterales"
"5","Rickettsiales"
"6","Thermoanaerobacterales"
"7","Synergistales"
"8","Planctomycetales"
"9","Obscuribacterales"
"10","Flavobacteriales"
"11","Pasteurellales"
"12","Sphingomonadales"
