"","Bacteroidales","Rhodobacterales","Clostridiales","Corynebacteriales","Solibacterales","Pseudomonadales","Kineosporiales","Burkholderiales","Selenomonadales","Erysipelotrichales","Bacillales","Coriobacteriales","Lactobacillales","Thermales","Caulobacterales","Bifidobacteriales","NB1_n","Actinomycetales","Micrococcales","Gastranaerophilales","Campylobacterales","MB_A2_108(class)","Fusobacteriales","Mollicutes_RF9","Rickettsiales","Rhodospirillales","Thermoanaerobacterales","Synergistales","Victivallales","Neisseriales","Sphingobacteriales","Planctomycetales","Obscuribacterales","Desulfovibrionales","Bdellovibrionales","Flavobacteriales","Pasteurellales","Enterobacteriales","Sphingomonadales","Xanthomonadales","Thermoplasmatales","Chloroplast(class)","Verrucomicrobiales","Methanobacteriales","Cytophagales","Rhizobiales","Cellvibrionales","Acidobacteriales","Unknown_Order"
"X215056",0.180600520536,0.0,0.607058972894,0.0,0.0,0.000126959944138,0.0,0.00355487843585,0.0238684694979,0.00736367675998,0.000190439916206,0.000634799720688,0.00901415603377,0.0,0.0,0.00260267885482,0.0,0.000126959944138,0.0,0.00139655938551,0.0,0.0,0.0146638735479,0.0,0.0,0.00120611946931,0.0,0.0,0.0,0.000888719608963,6.34799720688e-05,0.0,0.0,0.00660191709516,0.0,0.0,0.00146003935758,0.0611312131023,0.0,0.0,0.0,0.0,0.076556846315,0.000888719608963,0.0,0.0,0.0,0.0,0.0
"X215055",0.340306000478,0.0,0.506335166149,0.0,0.0,0.000239062873536,0.0,0.00364570882142,0.0117140808033,0.0133277551996,0.00029882859192,0.000776954338991,0.00502032034425,0.0,0.0,0.00454219459718,0.0,5.97657183839e-05,0.000119531436768,0.00167344011475,0.000418360028688,0.0,0.0103992349988,0.0,0.0,0.000776954338991,0.000119531436768,0.0,0.000478125747071,0.000657422902223,0.000179297155152,0.0,0.0,0.0151804924695,0.0,0.0,0.000896485775759,0.061797752809,0.0,0.0,0.0,0.0,0.0201410470954,0.000358594310304,0.0,0.0,0.0,0.0,0.000537891465455
"X215058",0.258872508873,0.0,0.586814086814,0.0,0.0,0.0015015015015,0.0,0.0405405405405,0.00812175812176,0.00757575757576,0.0,0.0004095004095,0.0004095004095,0.0,0.0001365001365,6.82500682501e-05,0.0,0.00034125034125,0.0,0.0,0.0,0.0,0.0,0.0042315042315,0.0,0.0282555282555,0.0,0.00020475020475,0.00102375102375,0.0004095004095,0.0,0.0,0.00034125034125,0.0410865410865,0.0,0.0,0.000682500682501,0.000682500682501,0.0,0.0,0.0,0.0,0.0178132678133,0.00047775047775,0.0,0.0,0.0,0.0,0.0
"X215057",0.384970835543,0.0,0.484546625256,0.0,0.0,7.5751836982e-05,0.0,0.0410574956443,0.00693129308386,0.0102643739111,0.000151503673964,0.000530262858874,0.00132565714719,0.0,0.0,0.000227255510946,0.0,0.0,0.0,0.0,0.0,0.0,7.5751836982e-05,0.00321945307174,0.0,0.0221195363988,3.7875918491e-05,7.5751836982e-05,0.000340883266419,3.7875918491e-05,0.0,0.0,0.0,0.0329520490872,0.0,0.0,0.000189379592455,0.000492386940383,0.0,0.0,7.5751836982e-05,0.0,0.00988561472616,0.000416635103401,0.0,0.0,0.0,0.0,0.0
"X215074",0.312694756808,0.0,0.564286682021,0.0,0.0,0.000135482996884,0.0,0.0281804633518,0.0215417965045,0.0246579054329,0.0,0.00270965993768,0.011651537732,0.0,0.0,0.00311610892833,0.0,0.00108386397507,0.000406448990652,0.0,0.0,0.000406448990652,0.000677414984419,0.00596125186289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00216772795014,0.0,0.0,0.0050128708847,0.00352255791898,0.0,0.0,0.0,0.0,0.0117870207289,0.0,0.0,0.0,0.0,0.0,0.0
"X215077",0.37962962963,0.0,0.530161349468,0.0,0.0,0.0001833516685,0.0,0.0195727906124,0.0164558122479,0.0166391639164,9.16758342501e-05,0.0012834616795,0.00417125045838,0.0,0.0,0.00284195086175,0.0,0.0001833516685,0.0,0.000137513751375,0.000137513751375,0.0,0.000412541254125,0.00160432709938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00430876420975,0.0,0.0,0.00600476714338,0.000504217088376,0.0,0.0,0.0,0.0,0.0156765676568,0.0,0.0,0.0,0.0,0.0,0.0
"X222170",0.73781661976,0.0,0.204858539476,0.000592504814102,0.0,0.0,0.0,0.0379203081025,0.0075544363798,0.000592504814102,0.0,0.000592504814102,0.00207376684936,0.0,0.0,0.000296252407051,0.0,0.000296252407051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00607317434454,0.0,0.0,0.0,0.00133313583173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X222171",0.667649785118,0.0,0.259711805848,0.0,0.0,0.00227521698829,0.0,0.0405325693099,0.0101120755035,0.000926940254487,0.000421336479312,0.000926940254487,0.00547737423106,0.0,0.0,0.0006741383669,0.0,0.000168534591725,8.42672958625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000589871071037,0.0,0.0,0.0,0.0,0.00699418555659,0.0,0.0,0.0006741383669,0.00168534591725,0.0006741383669,0.0,0.0,0.0,0.0,0.0,0.000421336479312,0.0,0.0,0.0,0.0
"X224844",0.286439448876,0.0,0.621555474982,0.000634517766497,0.0,0.000271936185642,0.0,0.0321791153009,0.011421319797,0.0,0.000634517766497,0.000543872371284,0.000815808556925,0.0,0.0,0.00416968817984,0.0,0.0,0.0,0.0,0.0,0.0,0.00190355329949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00725163161711,0.0,0.0,0.00335387962292,0.0286439448876,0.0,0.000181290790428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224845",0.269431743958,0.0,0.671083325558,0.0,0.0,0.0,0.0,0.0281795278529,0.0137631799944,0.000886442101334,9.33096948773e-05,9.33096948773e-05,0.00130633572828,0.0,0.0,0.00116637118597,0.0,0.000139964542316,0.0,0.0,0.0,0.0,0.00125968088084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00303256508351,0.0,0.0,0.00181953905011,0.00774470467482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
