Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.8252365500871,0.131190429125266,-0.0599589330279712,0.03912966045120163
2,0.761807334670767,0.136643963006068,0.061737384974527125,0.12688735961423714
3,0.715668823052735,0.176620254842386,-0.022847253203809398,0.10781447260279742
4,0.996268649367303,0.00323144443834302,-0.0021492349302747234,0.04890655121487815
5,0.168877664049521,0.328059714451725,-0.0179476858934256,0.09834820030132826
Averages,0.693571804245485,0.1551491611727576,-0.00823314441619076,0.08421724883688853
