"","Betaproteobacteria","Bacteroidia","Clostridia","Gammaproteobacteria","Actinobacteria","Alphaproteobacteria","Negativicutes","Erysipelotrichia","Bacilli","Sphingobacteriia","Coriobacteriia","Deinococci","Flavobacteriia","Synergistia","Subgroup_6","Fusobacteriia","Thermomicrobia","Deltaproteobacteria","Epsilonproteobacteria","Chloroplast","Melainabacteria","Methanobacteria","Thermoleophilia","Blastocatellia","Mollicutes","Verrucomicrobiae","Cytophagia","Latescibacteria(phylum)"
"X206704",0.0204136739213,0.289301722741,0.538640168494,0.0624291191878,0.00232219041961,0.0,0.0575147162067,0.00108008856726,0.0204136739213,0.0,0.00124210185235,0.0,0.0,0.0,0.0,0.00108008856726,0.0,0.00334827455851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00221418156289,0.0,0.0
"X206703",0.00910960916838,0.541698501322,0.347281810167,0.0427857772554,0.000764031736703,0.000235086688216,0.0357331766089,0.00117543344108,0.0105789009697,0.0,0.000352630032324,0.0,0.0,0.0,0.0,0.000999118424919,0.0,0.0071701439906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00211578019395,0.0,0.0
"X206753",0.00911548860564,0.395403630745,0.503398995751,0.00220162224797,0.0018539976825,3.86249517188e-05,0.0493626882966,0.00119737350328,0.0118964851294,0.0,0.000154499806875,0.0,0.0,0.0,0.0,0.000231749710313,0.0,0.00915411355736,0.0,3.86249517188e-05,0.0,0.0,0.0,0.0,0.00135187331016,0.0146002317497,0.0,0.0
"X206752",0.00692659240217,0.464795772636,0.394958583262,0.00203513281919,0.00139245929734,3.57040845473e-05,0.0558054841474,0.00157097972008,0.0182447872037,0.0,0.000178520422736,0.0,0.0,0.0,0.0,0.000214224507284,0.0,0.00574835761211,0.0,0.0,0.0,0.0,0.0,0.0,0.00117823479006,0.0469151670951,0.0,0.0
"X206711",0.000129920748344,0.341388419731,0.57935992378,0.000952752154519,0.00290156337967,0.0,0.0469446970681,0.0217400718895,0.00138582131566,0.0,0.00277164263133,0.0,0.0,0.0,0.0,0.000259841496687,0.0,0.00212203888961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33069161145e-05,0.0,0.0
"X206710",0.0,0.386405388855,0.518771491827,0.00150737199114,0.00635922558764,0.0,0.0504969617033,0.0159216166565,0.00899712657214,0.0,0.00390974610203,0.0,0.0,0.0,0.0,0.000518159121956,0.0,0.00711291158321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206719",0.00452817292494,0.494766969969,0.472937758982,0.00081165363749,0.00111068392499,0.0,0.00440001708745,0.0127728651373,8.54372249989e-05,0.0,0.000427186124995,0.0,8.54372249989e-05,0.0,0.0,0.0,0.0,0.0080310991499,4.27186124995e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206718",0.00371563041863,0.518949715135,0.464949219718,0.00049541738915,0.000433490215507,0.0,0.00266286846668,0.00501610106515,0.000619271736438,6.19271736438e-05,6.19271736438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0029725043349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19271736438e-05,0.0,0.0
"X206726",0.000125449527473,0.424144852388,0.538513004934,0.00518524713557,0.000585431128209,0.0,0.013255833403,0.00735970561178,0.00037634858242,0.0,0.000209082545789,0.0,0.0,0.0,0.0,0.00899054946893,0.0,0.000669064146525,0.000585431128209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206725",0.000112807400165,0.300481311574,0.65702790103,0.00940061668045,0.000188012333609,0.0,0.00729487854403,0.00345942693841,0.000300819733775,0.0,7.52049334436e-05,0.0,0.0,0.0,0.0,0.0205685492968,0.0,0.000188012333609,0.000902459201324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206730",0.000134625740442,0.266020463113,0.220516962843,0.488691437803,0.00188476036618,0.0,0.000673128702208,0.0114431879375,0.00578890683899,0.000942380183091,0.000269251480883,0.0,0.0,0.0,0.0,0.00188476036618,0.000538502961766,0.0,0.000942380183091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000269251480883
"X206729",0.00210498618603,0.0658465991317,0.429219839495,0.310353900803,0.00506512301013,0.0,0.0551243257466,0.00309169846073,0.111038021313,0.0,0.00473621891856,0.00039468490988,0.000986712274701,0.0,0.0,0.0112485199316,0.0,0.00019734245494,0.00059202736482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206739",0.0137105302916,0.264012690739,0.677821423176,0.00203958301858,0.00460794681976,3.77700558997e-05,0.0138993805711,0.0185073273908,0.00109533162109,0.0,0.000566550838495,0.0,0.0,0.0,0.0,0.000302160447197,0.0,0.00321045475147,7.55401117994e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.55401117994e-05,3.77700558997e-05,0.0
"X206738",0.0205940594059,0.264893917963,0.638642149929,0.00758132956153,0.00277227722772,0.000678925035361,0.0293069306931,0.00571428571429,0.0191230551627,0.0,0.000961810466761,0.00016973125884,0.00022630834512,0.000565770862801,0.0,0.00135785007072,0.0,0.00639321074965,0.0,0.000792079207921,0.0,0.0,0.00011315417256,0.0,0.0,0.00011315417256,0.0,0.0
"X206741",0.0171815341895,0.428670600486,0.527768136064,0.000911141964596,0.00134501909059,0.000130163137799,0.0111506421381,0.000737591114196,0.000954529677195,0.0,8.67754251996e-05,8.67754251996e-05,0.0,0.0,0.0,0.000130163137799,0.0,0.0108469281499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206740",0.0181685160346,0.465613949518,0.484940860871,0.00341421777832,0.00146323619071,0.0,0.0141446165102,0.00201194976222,0.00152420436532,0.0,0.000731618095354,0.0,0.0,0.0,0.0,0.000548713571516,0.0,0.00737714912816,0.0,6.09681746129e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206742",0.0111207216113,0.530705548004,0.355698340129,0.00181226574406,0.00156513859714,4.11878578195e-05,0.0386753984925,0.00115326001895,0.0171753367107,0.0,0.000288315004737,0.0,0.0,0.0,0.0,0.0,0.0,0.00185345360188,0.0,0.0,0.0,0.00185345360188,0.0,0.0,0.0,0.0380575806252,0.0,0.0
"X206743",0.00935766608799,0.673201507389,0.224541643731,0.00207477664394,0.00173603760003,8.46847609773e-05,0.0217216411907,0.000889189990261,0.0143540669856,0.000381081424398,0.00135495617564,8.46847609773e-05,0.000338739043909,0.0,0.0,0.0018630647415,0.0,0.00338739043909,0.0,0.0,0.0,0.000973874751239,0.0,0.000381081424398,0.0,0.0432739128594,0.0,0.0
"X224324",0.0697744490358,0.621986914601,0.230501033058,0.0603908402204,0.00094696969697,4.3044077135e-05,0.00649965564738,0.00150654269972,0.00589703856749,0.0,0.000129132231405,0.0,0.0,0.0,0.0,0.000215220385675,0.0,0.00180785123967,0.000301308539945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224323",0.0455051066842,0.4899383153,0.378450803924,0.0548083729396,0.00101122459298,0.0,0.018151481444,0.00197188795632,0.00753362321772,0.000101122459298,0.000252806148246,0.0,5.05612296491e-05,0.0,0.0,0.000404489837193,0.0,0.00171908180807,5.05612296491e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.05612296491e-05,0.0,0.0
"X219652",0.00941555273685,0.20514196507,0.652941750415,0.000682993462777,0.0644453117377,0.0,0.0470777636843,0.00204898038833,0.00112206068885,0.0,0.000536637720753,0.0,0.0,0.0,0.000146355742024,4.87852473412e-05,0.0,0.00439067226071,0.0,4.87852473412e-05,0.0106351839204,0.0,0.0,0.0,0.0,0.00131720167821,0.0,0.0
"X219651",0.00566859850247,0.227040060916,0.682727695757,0.000549938660688,0.0273277211388,0.0,0.0324040780067,0.00393417657261,0.00232666356445,0.0,0.000296120817293,0.0,0.000296120817293,0.0,0.0,4.23029738991e-05,0.0,0.00579550742417,0.0,0.0,0.0111679851094,0.0,0.0,0.0,0.0,0.000423029738991,0.0,0.0
"X219656",0.0274629913221,0.300561510975,0.638591117917,0.0108218478816,0.00204185809086,0.00173557937723,0.00428790199081,0.00775906074528,0.000102092904543,0.0,0.000204185809086,0.0,0.0,0.0,0.0,0.00102092904543,0.0,0.00245022970904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00296069423175,0.0,0.0
"X219655",0.0161391640493,0.136796327615,0.824402029476,0.00289925102682,0.000579850205364,4.8320850447e-05,0.00231940082145,0.0124184585649,0.00111137956028,0.0,9.66417008939e-05,0.0,0.0,0.0,0.0,0.00115970041073,0.0,0.000773133607151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00125634211162,0.0,0.0
"X219657",0.0,0.016999055608,0.690128326204,0.114215876896,0.00105549691684,5.55524693073e-05,0.0344980834398,0.142103216488,0.000944391978223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219658",0.0,0.0,0.521264994547,0.295528898582,0.0109051254089,0.0,0.0599781897492,0.0883315158124,0.0218102508179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00218102508179,0.0,0.0
