"","Burkholderiales","Bacteroidales","Clostridiales","Rhodobacterales","Run_SP154","Corynebacteriales","Solibacterales","Rhodospirillales","Pseudomonadales","Kineosporiales","Micrococcales","Selenomonadales","Erysipelotrichales","Bacillales","Bifidobacteriales","Sphingobacteriales","Coriobacteriales","Lactobacillales","Thermales","Caulobacterales","NB1_n","Actinomycetales","Flavobacteriales","Rhizobiales","Gastranaerophilales","Campylobacterales","Synergistales","MB_A2_108(class)","Fusobacteriales","Mollicutes_RF9","Micromonosporales","Rickettsiales","Subgroup_6(class)","Thermoanaerobacterales","Victivallales","Neisseriales","Planctomycetales","JG30_KF_CM45","Cardiobacteriales","Alteromonadales","Obscuribacterales","Desulfovibrionales","Chloroplast(class)","Deinococcales","Bdellovibrionales","Pasteurellales","Enterobacteriales","Sphingomonadales","Myxococcales","Xanthomonadales","Thermoplasmatales","Methanobacteriales","Solirubrobacterales","Blastocatellales","Verrucomicrobiales","Cytophagales","Cellvibrionales","Latescibacteria(phylum)","Acidobacteriales","Unknown_Order"
"X206726",0.0,0.424144852388,0.538513004934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013255833403,0.00735970561178,0.000167266036631,0.000543614619052,0.0,0.000209082545789,0.000209082545789,0.0,0.0,0.0,4.18165091578e-05,0.0,0.0,0.0,0.000585431128209,0.0,0.0,0.00899054946893,0.0,0.0,0.0,0.0,0.0,0.0,0.000125449527473,0.0,0.0,0.0,0.0,0.0,0.000669064146525,0.0,0.0,0.0,0.000209082545789,0.00497616458978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206725",0.0,0.300481311574,0.65702790103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00729487854403,0.00345942693841,3.76024667218e-05,0.000188012333609,0.0,7.52049334436e-05,0.000263217267053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000902459201324,0.0,0.0,0.0205685492968,0.0,0.0,0.0,0.0,0.0,0.0,0.000112807400165,0.0,0.0,0.0,0.0,0.0,0.000188012333609,0.0,0.0,0.0,0.000112807400165,0.00928780928029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206730",0.000134625740442,0.266020463113,0.220516962843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000673128702208,0.0114431879375,0.000673128702208,0.00175013462574,0.000942380183091,0.000269251480883,0.00511577813678,0.0,0.0,0.0,0.000134625740442,0.0,0.0,0.0,0.000942380183091,0.0,0.0,0.00188476036618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000538502961766,0.0,0.000134625740442,0.0,0.0,0.0,0.0,0.0,0.0,0.488556812062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000269251480883,0.0,0.0
"X206729",0.000263123273254,0.0658465991317,0.429219839495,0.0,0.0,0.000657808183134,0.0,0.0,0.000460465728194,0.0,0.000263123273254,0.0551243257466,0.00309169846073,0.00855150638074,0.0,0.0,0.00473621891856,0.102486514932,0.00039468490988,0.0,0.0,0.00414419155374,0.000986712274701,0.0,0.0,0.00059202736482,0.0,0.0,0.0112485199316,0.0,0.0,0.0,0.0,0.0,0.0,0.00184186291277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019734245494,0.00059202736482,0.30930140771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206739",0.0137105302916,0.264012690739,0.677821423176,0.0,0.0,0.0,0.0,0.0,0.000188850279498,0.0,0.0,0.0138993805711,0.0185073273908,3.77700558997e-05,0.00449463665206,0.0,0.000566550838495,0.00105756156519,0.0,0.0,0.0,0.000113310167699,0.0,0.0,0.0,7.55401117994e-05,0.0,0.0,0.000302160447197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00321045475147,0.0,0.0,0.0,0.00105756156519,0.000755401117994,3.77700558997e-05,0.0,3.77700558997e-05,0.0,0.0,0.0,0.0,7.55401117994e-05,3.77700558997e-05,0.0,0.0,0.0,0.0
"X206738",0.0205940594059,0.264893917963,0.638642149929,0.0,0.0,0.0,0.0,0.0,0.00164073550212,0.0,0.0,0.0293069306931,0.00571428571429,0.00554455445545,0.00277227722772,0.0,0.000961810466761,0.0135785007072,0.00016973125884,5.65770862801e-05,0.0,0.0,0.00022630834512,0.000622347949081,0.0,0.0,0.000565770862801,0.0,0.00135785007072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00639321074965,0.000792079207921,0.0,0.0,0.00345120226308,0.00209335219236,0.0,0.0,0.00039603960396,0.0,0.0,0.00011315417256,0.0,0.00011315417256,0.0,0.0,0.0,0.0,0.0
"X206741",0.0171815341895,0.428670600486,0.527768136064,0.0,0.0,0.0,0.0,0.0,0.000130163137799,0.0,0.0,0.0111506421381,0.000737591114196,0.000130163137799,0.00134501909059,0.0,8.67754251996e-05,0.000824366539396,8.67754251996e-05,0.0,0.0,0.0,0.0,4.33877125998e-05,0.0,0.0,0.0,0.0,0.000130163137799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108469281499,0.0,0.0,0.0,0.000433877125998,0.000347101700798,8.67754251996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206740",0.0180465796854,0.465613949518,0.484940860871,0.0,0.0,0.0,0.0,0.0,0.000914522619193,0.0,0.0,0.0141446165102,0.00201194976222,0.000365809047677,0.00146323619071,0.0,0.000731618095354,0.00115839531764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000548713571516,0.0,0.0,0.0,0.0,0.0,0.0,0.000121936349226,0.0,0.0,0.0,0.0,0.0,0.00737714912816,6.09681746129e-05,0.0,0.0,6.09681746129e-05,0.00243872698451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206742",0.0111207216113,0.530705548004,0.355698340129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11878578195e-05,0.0386753984925,0.00115326001895,8.2375715639e-05,0.00152395073932,0.0,0.000288315004737,0.0170929609951,0.0,0.0,0.0,0.0,0.0,4.11878578195e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00185345360188,0.0,0.0,0.0,0.00107088430331,0.000741381440751,0.0,0.0,0.0,0.0,0.00185345360188,0.0,0.0,0.0380575806252,0.0,0.0,0.0,0.0,0.0
"X206743",0.00935766608799,0.673201507389,0.224541643731,0.0,0.000127027141466,0.000169369521955,0.0,8.46847609773e-05,0.000211711902443,0.0,0.000592793326841,0.0217216411907,0.000889189990261,0.000635135707329,0.000592793326841,0.000381081424398,0.00135495617564,0.0137189312783,0.0,0.0,0.0,0.000381081424398,0.000338739043909,0.0,0.0,0.0,0.0,0.0,0.0018630647415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00326036329762,0.0,8.46847609773e-05,0.0,8.46847609773e-05,0.00143964093661,0.0,0.000127027141466,0.000211711902443,0.0,0.000973874751239,0.0,0.000381081424398,0.0432739128594,0.0,0.0,0.0,0.0,0.0
