"","Burkholderiales","Bacteroidales","Clostridiales","Rhodobacterales","Run_SP154","Corynebacteriales","Solibacterales","Rhodospirillales","Pseudomonadales","Kineosporiales","Micrococcales","Selenomonadales","Erysipelotrichales","Bacillales","Bifidobacteriales","Sphingobacteriales","Coriobacteriales","Lactobacillales","Thermales","Caulobacterales","NB1_n","Actinomycetales","Flavobacteriales","Rhizobiales","Gastranaerophilales","Campylobacterales","Synergistales","MB_A2_108(class)","Fusobacteriales","Mollicutes_RF9","Micromonosporales","Rickettsiales","Subgroup_6(class)","Thermoanaerobacterales","Victivallales","Neisseriales","Planctomycetales","JG30_KF_CM45","Cardiobacteriales","Alteromonadales","Obscuribacterales","Desulfovibrionales","Chloroplast(class)","Deinococcales","Bdellovibrionales","Pasteurellales","Enterobacteriales","Sphingomonadales","Myxococcales","Xanthomonadales","Thermoplasmatales","Methanobacteriales","Solirubrobacterales","Blastocatellales","Verrucomicrobiales","Cytophagales","Cellvibrionales","Latescibacteria(phylum)","Acidobacteriales","Unknown_Order"
"X224324",0.0697314049587,0.621986914601,0.230501033058,0.0,0.0,8.608815427e-05,0.0,0.0,0.00025826446281,0.0,0.0,0.00649965564738,0.00150654269972,8.608815427e-05,0.00068870523416,0.0,0.000129132231405,0.00581095041322,0.0,0.0,0.0,0.00017217630854,0.0,4.3044077135e-05,0.0,0.000301308539945,0.0,0.0,0.000215220385675,0.0,0.0,0.0,0.0,0.0,0.0,4.3044077135e-05,0.0,0.0,0.0,0.000129132231405,0.0,0.00180785123967,0.0,0.0,0.0,0.00043044077135,0.0595730027548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224323",0.0455051066842,0.4899383153,0.378450803924,0.0,0.0,0.0,0.0,0.0,5.05612296491e-05,0.0,5.05612296491e-05,0.018151481444,0.00197188795632,0.000252806148246,0.000758418444737,0.000101122459298,0.000252806148246,0.00728081706947,0.0,0.0,0.0,0.000151683688947,5.05612296491e-05,0.0,0.0,5.05612296491e-05,0.0,0.0,0.000404489837193,0.0,5.05612296491e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00171908180807,0.0,0.0,0.0,0.000657295985438,0.0541005157245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05612296491e-05,0.0,0.0,0.0,0.0,0.0
"X215004",0.00396825396825,0.388888888889,0.315476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119047619048,0.031746031746,0.00396825396825,0.00198412698413,0.0,0.0,0.0,0.0456349206349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0337301587302,0.0,0.0,0.0,0.0,0.0,0.0,0.00396825396825,0.0,0.0,0.0,0.0,0.0,0.0238095238095,0.0,0.0,0.0,0.0952380952381,0.0396825396825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215003",0.0213823968175,0.283192441571,0.440079562407,0.0,0.0,0.0,0.0,0.0,0.000248632521134,0.0,0.0,0.0785678766783,0.00621581302834,0.00745897563401,0.000745897563401,0.0,0.00174042764794,0.0253605171556,0.0,0.0,0.0,0.000745897563401,0.0,0.000745897563401,0.000248632521134,0.0,0.0,0.0,0.00198906016907,0.0,0.0,0.000994530084535,0.0,0.0,0.0,0.012928891099,0.0,0.0,0.0,0.0,0.0,0.0238687220288,0.0,0.0,0.0,0.0825459970164,0.0109398309299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215008",0.0298213042469,0.679740078905,0.240194940822,0.0,0.0,0.0,0.0,0.0,0.00719424460432,0.0,0.00139243443955,0.00696217219773,0.00150847064284,0.0,0.000348108609886,0.0,0.000928289626363,0.00116036203295,0.0,0.0,0.0,0.000116036203295,0.0,0.000348108609886,0.0,0.0,0.0,0.0,0.000232072406591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232072406591,0.00417730331864,0.0240194940822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00162450684614,0.0,0.0,0.0,0.0,0.0
"X215007",0.0254691689008,0.595232544586,0.3276605665,0.0,0.0,5.82818510316e-05,0.0,0.0,0.0,0.0,0.0,0.0132299801842,0.00186501923301,0.00034969110619,0.000174845553095,0.0,0.000699382212379,0.00198158293507,0.0,0.0,0.0,0.000116563702063,0.0,0.0,0.0,0.0,0.0,0.0,0.00157360997785,0.0,0.0,0.0,0.0,0.0,0.0,0.000466254808253,0.0,0.0,0.0,0.0,0.0,5.82818510316e-05,0.0,0.0,0.0,0.0068189765707,0.0174262734584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068189765707,0.0,0.0,0.0,0.0,0.0
"X215010",0.011534480209,0.368856903436,0.539951693203,0.0,0.0,0.0,0.0,0.0,0.00354907083354,0.0,0.0,0.0104993345492,0.00468280179425,0.000197170601863,0.000197170601863,0.0,0.000246463252329,0.00108443831025,0.0,0.0,0.0,0.0,0.0,0.0,0.0132597229753,0.000985853009316,0.000739389756987,0.0,0.0,0.00916843298664,0.0,0.0,0.0,0.0,0.000197170601863,0.0,0.0,0.0,0.0,0.0,0.0,0.00887267708385,0.0,0.0,0.0,0.000492926504658,0.00128160891211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0242026913787,0.0,0.0,0.0,0.0,0.0
"X215009",0.0164955539327,0.439408909317,0.425147128313,0.0,0.0,0.0,0.0,0.000257743030199,0.00369431676618,0.0,0.000171828686799,0.0131448945401,0.00571330383608,0.00386614545298,0.000343657373599,0.0,0.0010739292925,0.0345375660467,0.0,0.0,0.0,0.00343657373599,0.0,0.0,0.0134026375703,0.00236264444349,0.000171828686799,0.0,0.000171828686799,0.00730271918897,0.0,0.0,0.0,4.29571716998e-05,0.000472528888698,0.0,0.0,0.0,0.0,0.0,0.0,0.00923579191546,4.29571716998e-05,0.0,0.0,0.00777524807767,0.0011598436359,0.0,0.0,4.29571716998e-05,0.0,0.0,0.0,0.0,0.0105245070665,0.0,0.0,0.0,0.0,0.0
"X215049",0.0034965034965,0.262237762238,0.101398601399,0.0,0.0,0.307692307692,0.0,0.0,0.0,0.0,0.0559440559441,0.0944055944056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0594405594406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215048",0.0431519699812,0.372173397847,0.462624666732,0.0,0.0,0.0,0.000493729633653,0.0314012047003,0.0,0.0,0.0,0.00513478818999,0.00691221487114,0.00543102597018,0.000789967413844,0.000789967413844,0.000888713340575,0.0100720845265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00138244297423,0.0,0.0,0.00977584674632,0.00572726375037,0.0,0.0,0.0,0.0,0.0,0.0127382245482,0.000296237780192,0.0,0.0,0.0,0.0,0.00424607484941,0.0,0.0,0.0,0.0233040387084,0.00217241038807,0.0,0.0,0.000394983706922,0.0,0.0,0.0,0.0,9.87459267305e-05,0.0,0.0,0.0,0.0,0.0
"X215056",0.00355487843585,0.180600520536,0.607058972894,0.0,0.0,0.0,0.0,0.00120611946931,0.000126959944138,0.0,0.0,0.0238684694979,0.00736367675998,0.000190439916206,0.00260267885482,6.34799720688e-05,0.000634799720688,0.00901415603377,0.0,0.0,0.0,0.000126959944138,0.0,0.0,0.00139655938551,0.0,0.0,0.0,0.0146638735479,0.0,0.0,0.0,0.0,0.0,0.0,0.000888719608963,0.0,0.0,0.0,0.0,0.0,0.00660191709516,0.0,0.0,0.0,0.00146003935758,0.0611312131023,0.0,0.0,0.0,0.0,0.000888719608963,0.0,0.0,0.076556846315,0.0,0.0,0.0,0.0,0.0
"X215055",0.00364570882142,0.340306000478,0.506335166149,0.0,0.0,0.0,0.0,0.000776954338991,0.000239062873536,0.0,0.000119531436768,0.0117140808033,0.0133277551996,0.00029882859192,0.00454219459718,0.000179297155152,0.000776954338991,0.00502032034425,0.0,0.0,0.0,5.97657183839e-05,0.0,0.0,0.00167344011475,0.000418360028688,0.0,0.0,0.0103992349988,0.0,0.0,0.0,0.0,0.000119531436768,0.000478125747071,0.000657422902223,0.0,0.0,0.0,0.0,0.0,0.0151804924695,0.0,0.0,0.0,0.000896485775759,0.061797752809,0.0,0.0,0.0,0.0,0.000358594310304,0.0,0.0,0.0201410470954,0.0,0.0,0.0,0.0,0.000537891465455
"X215058",0.0405405405405,0.258872508873,0.586814086814,0.0,0.0,0.0,0.0,0.0282555282555,0.0015015015015,0.0,0.0,0.00812175812176,0.00757575757576,0.0,6.82500682501e-05,0.0,0.0004095004095,0.0004095004095,0.0,0.0001365001365,0.0,0.00034125034125,0.0,0.0,0.0,0.0,0.00020475020475,0.0,0.0,0.0042315042315,0.0,0.0,0.0,0.0,0.00102375102375,0.0004095004095,0.0,0.0,0.0,0.0,0.00034125034125,0.0410865410865,0.0,0.0,0.0,0.000682500682501,0.000682500682501,0.0,0.0,0.0,0.0,0.00047775047775,0.0,0.0,0.0178132678133,0.0,0.0,0.0,0.0,0.0
"X215057",0.0410574956443,0.384970835543,0.484546625256,0.0,0.0,0.0,0.0,0.0221195363988,7.5751836982e-05,0.0,0.0,0.00693129308386,0.0102643739111,0.000151503673964,0.000227255510946,0.0,0.000530262858874,0.00132565714719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5751836982e-05,0.0,7.5751836982e-05,0.00321945307174,0.0,0.0,0.0,3.7875918491e-05,0.000340883266419,3.7875918491e-05,0.0,0.0,0.0,0.0,0.0,0.0329520490872,0.0,0.0,0.0,0.000189379592455,0.000492386940383,0.0,0.0,0.0,7.5751836982e-05,0.000416635103401,0.0,0.0,0.00988561472616,0.0,0.0,0.0,0.0,0.0
"X215074",0.0281804633518,0.312694756808,0.564286682021,0.0,0.0,0.0,0.0,0.0,0.000135482996884,0.0,0.000406448990652,0.0215417965045,0.0246579054329,0.0,0.00311610892833,0.0,0.00270965993768,0.011651537732,0.0,0.0,0.0,0.00108386397507,0.0,0.0,0.0,0.0,0.0,0.000406448990652,0.000677414984419,0.00596125186289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00216772795014,0.0,0.0,0.0,0.0050128708847,0.00352255791898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0117870207289,0.0,0.0,0.0,0.0,0.0
"X215077",0.0195727906124,0.37962962963,0.530161349468,0.0,0.0,0.0,0.0,0.0,0.0001833516685,0.0,0.0,0.0164558122479,0.0166391639164,9.16758342501e-05,0.00284195086175,0.0,0.0012834616795,0.00417125045838,0.0,0.0,0.0,0.0001833516685,0.0,0.0,0.000137513751375,0.000137513751375,0.0,0.0,0.000412541254125,0.00160432709938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00430876420975,0.0,0.0,0.0,0.00600476714338,0.000504217088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156765676568,0.0,0.0,0.0,0.0,0.0
"X222170",0.0379203081025,0.73781661976,0.204858539476,0.0,0.0,0.000592504814102,0.0,0.0,0.0,0.0,0.0,0.0075544363798,0.000592504814102,0.0,0.000296252407051,0.0,0.000592504814102,0.00207376684936,0.0,0.0,0.0,0.000296252407051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00607317434454,0.0,0.0,0.0,0.0,0.00133313583173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X222171",0.0405325693099,0.667649785118,0.259711805848,0.0,0.0,0.0,0.0,0.0,0.00227521698829,0.0,8.42672958625e-05,0.0101120755035,0.000926940254487,0.000421336479312,0.0006741383669,0.0,0.000926940254487,0.00547737423106,0.0,0.0,0.0,0.000168534591725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000589871071037,0.0,0.0,0.0,0.0,0.0,0.0,0.00699418555659,0.0,0.0,0.0,0.0006741383669,0.00168534591725,0.0006741383669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000421336479312,0.0,0.0,0.0,0.0
