"","Rhodospirillales","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Pasteurellales","Corynebacteriales","Solibacterales","Gaiellales","Pseudomonadales","Sphingomonadales","Lactobacillales","Blastocatellales","Selenomonadales","Flavobacteriales","Erysipelotrichales","WCHB1_32(class)","Chthoniobacterales","Bacillales","Fusobacteriales","Sphingobacteriales","Coriobacteriales","Opitutales","Caulobacterales","Bifidobacteriales","Actinomycetales","Rhizobiales","Thermales","Micrococcales","Cytophagales","Gastranaerophilales","Desulfovibrionales","Subgroup_6(class)","Mollicutes_RF9","Micromonosporales","Unknown_Order","Anaerolineales","Chromatiales","Chlorobiales","Thermoanaerobacterales","OPB35_soil_group(class)","Synergistales","Tectomicrobia(phylum)","Victivallales","Propionibacteriales","Methanobacteriales","Neisseriales","JG30_KF_CM45","Planctomycetales","Myxococcales","Thermoplasmatales","Streptomycetales","Chloroplast(class)","Frankiales","Campylobacterales","Bacteroidetes_vadinHA17(class)","Acidimicrobiales","Legionellales","Enterobacteriales","ML635J_21(class)","Acidobacteriales","Xanthomonadales","Methylophilales","Solirubrobacterales","SubsectionIV","Anaeroplasmatales","Verrucomicrobiales","uncultured(class)","TK10(class)","Candidatus_Nomurabacteria(class)","Aeromonadales","SC_I_84","Gemmatimonadales","Cellvibrionales","SubsectionI","Subgroup_2(class)","Rhodocyclales","Pseudonocardiales"
"X206629",0.0004250797024442083,0.022741764080765142,0.7145589798087141,0.08076514346439957,0.0,0.016790648246546226,0.005951115834218916,0.0,0.0,0.010626992561105207,0.004038257173219979,0.006588735387885228,0.0,0.014665249734325186,0.0,0.05058448459086079,0.0,0.0,0.016153028692879916,0.005951115834218916,0.0,0.0004250797024442083,0.0,0.002975557917109458,0.005313496280552604,0.0,0.0076514346439957494,0.0,0.0025504782146652497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002975557917109458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028267800212539853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206636",0.0,0.05291970802919708,0.6697080291970803,0.1259124087591241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023722627737226276,0.0,0.02737226277372263,0.0,0.010948905109489052,0.0,0.0,0.023722627737226276,0.0,0.0,0.0,0.0,0.0,0.03467153284671533,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01824817518248175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005474452554744526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206635",0.0,0.014987577141941173,0.7365953354171676,0.1911517191632604,0.0,0.000881622184820069,4.0073735673639494e-05,0.0,0.0,4.0073735673639494e-05,0.0,0.014867355934920253,0.0,0.012382784323154605,0.0,0.0028452352328284043,0.0,0.0,0.00012022120702091849,0.00020036867836819747,0.0,4.0073735673639494e-05,0.0,0.0,0.021880259677807164,8.014747134727899e-05,0.0,0.0,0.0,0.0,0.0,0.0009216959204937084,0.0,0.0,0.0,0.0,0.0,8.014747134727899e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023643504047447302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005209585637573135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206644",0.0,0.0,0.45637013097465556,0.4922605885354652,0.0,0.014628338152747066,0.0,0.0,0.0,0.00017009695526450075,0.0,0.0008504847763225039,0.0,0.0023813573737030106,0.0,0.014118047286953563,0.0,0.0,0.0010205817315870045,0.0,0.0,0.00017009695526450075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003401939105290015,0.0,0.0,0.0,0.017179792481714577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005102908657935023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206643",0.0001462950771706532,0.000365737692926633,0.5314168678223978,0.3893643478896935,0.0,0.03247750713188501,0.0005120327700972862,0.0,0.0,0.001462950771706532,0.0,0.007826786628629947,0.0,0.0019018360032184917,0.0,0.01441006510130934,0.0,0.0,0.0009509180016092459,0.0,0.0,0.00021944261575597982,0.0,0.0,0.0005851803086826128,7.31475385853266e-05,0.0005851803086826128,0.0,0.00043888523151195964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001462950771706532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016897081413210446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021944261575597982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206670",0.0,0.030364372469635626,0.4791572949467686,0.36343529764582394,0.0,0.0002249212775528565,0.0,0.0,0.0,0.000149947518368571,0.0,0.0012370670265407107,0.0,0.0390238416554206,0.0,0.014507422402159244,0.0,0.0,0.0,0.00041235567551357026,0.0,0.00011246063877642825,0.0,0.0,0.0005248163142899985,0.0,0.0,0.0,3.748687959214275e-05,0.0,0.0014619883040935672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011246063877642825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06923826660668767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206669",0.0,0.0,0.06382978723404255,0.010638297872340425,0.0,0.010638297872340425,0.1276595744680851,0.0,0.0,0.5106382978723404,0.0,0.0,0.0,0.02127659574468085,0.0,0.010638297872340425,0.0,0.0,0.05319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09574468085106383,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.07446808510638298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206676",0.0,0.024019353723863834,0.7064109210298946,0.19042681873163989,0.0,0.0,0.002592016588906169,0.0,0.0,0.01658890616899948,0.0,0.0044928287541040265,0.0,0.024537757041645066,0.0,0.00017280110592707794,0.0,0.0,0.00017280110592707794,0.007257646448937273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012096077414895455,0.0,0.0,0.013824088474166234,0.0,0.0003456022118541559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007776049766718507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017280110592707794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206675",0.0,0.015443037974683544,0.6070886075949367,0.30835443037974686,0.0,0.0,0.0,0.0,0.0,0.0037974683544303796,0.0,0.00810126582278481,0.0,0.0210126582278481,0.0,0.006329113924050633,0.0,0.0,0.006582278481012658,0.0,0.0,0.0012658227848101266,0.0,0.0007594936708860759,0.0,0.0,0.0,0.0,0.0020253164556962027,0.0,0.0,0.0017721518987341772,0.0,0.0027848101265822785,0.0,0.0,0.0010126582278481013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005063291139240507,0.0015189873417721519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011139240506329114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005063291139240507,0.0,0.0,0.0,0.0
"X206677",0.0,0.001809253036960455,0.5116309123804601,0.1371155337296459,0.0002584647195657793,0.16619281468079608,0.0,0.0,0.0,0.004264667872835358,0.0033600413543551306,0.030628069268544843,0.0027138795554406824,0.013827862496769192,0.0012923235978288964,0.012147841819591625,0.0,0.0,0.0051692943913155855,0.005427759110881365,0.0060739209097958125,0.00012923235978288964,0.0,0.0,0.0,0.00012923235978288964,0.00697854742827604,0.0,0.002843111915223572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008658568105453606,0.0,0.0,0.0,0.0,0.0002584647195657793,0.0,0.0005169294391315585,0.002455414835874903,0.0,0.0,0.0,0.07224088911863531,0.00361850607392091,0.0,0.0,0.0,0.0,0.0,0.0,0.00012923235978288964,0.0,0.0,0.0,0.00012923235978288964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
