"","x"
"1","Bryobacter"
"2","Blautia"
"3","Thermus"
"4","_Eubacterium_hallii_group"
"5","Ruminococcaceae_NK4A214_group"
"6","Fusobacterium"
"7","Subdoligranulum"
"8","Coprococcus"
"9","Acinetobacter"
"10","Ruminococcaceae_UCG_014"
"11","Alicyclobacillus"
"12","Butyricimonas"
"13","Arcobacter"
"14","MB_A2_108(class)"
"15","Methylobacterium"
"16","Peptostreptococcus"
"17","Anaerofilum"
"18","Acidaminococcus"
"19","Lachnoclostridium"
"20","Cloacibacterium"
"21","Ruminococcaceae_UCG_008"
"22","Catonella"
"23","Cytophaga"
"24","Candidatus_Stoquefichus"
"25","Pseudoxanthomonas"
