Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.815819556500924,0.122323612812569,0.048704249334316815,0.09558519692802805
2,0.996269080721129,0.00323107087497112,-0.10312389063107505,0.02573105200374584
3,0.965501147753179,0.0348735476089564,-0.06733289461586167,0.06027772045096149
4,0.989196456542049,0,-0.0342528719069922,0.04062973592108244
5,0.970419299400506,0.0256176381809034,0.00276757409077536,0.12394356599232954
6,0.7083450075901,0,-0.03422544149478711,0.11188105150410962
Averages,0.9075917580846479,0.031007644912899982,-0.031243879203937314,0.07634138713337617
