Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.724019540792466,0.2112942639772,-0.06908057513192527,0.11154179811133562
2,0.742800369329768,0.290120321405085,-0.039616007880207846,0.1279648307652024
3,0.803711424539489,0.133349097775704,-0.02034747592010957,0.12982523524907336
4,0.230301807345206,0.332113163633017,-0.03499866507699329,0.16154573359386026
5,0.820805816220403,0.14451065789269,-0.04007221938399007,0.10373990987410966
6,0.81770600119714,0.154628522347966,-0.033662772093951895,0.1103016525216172
7,0.824977349419587,0.176338141126017,-0.024444713746233016,0.12287150061802635
8,0.698323106814862,0.182002327535625,-0.02496189096336899,0.11049098259211347
9,0.905872814027244,0.12140584390734,-0.029573695755186903,0.1050655087338737
10,0.509536014688073,0.375226260482273,-0.015827490930042168,0.1424343639746822
11,1.0,0,-0.033138442846897355,0.07724288501259759
12,0.821461135803177,0.393723422069118,-0.013058985849559352,0.12306960293821703
13,0.78596438887893,0.179833567720566,-0.0584838172790393,0.10751318563773456
14,0.872496051724491,0.109501030224186,-0.02697208000188019,0.11469510250449803
15,0.764555648342625,0.178773705967315,-0.04504738585154247,0.11698536307904246
16,0.710066225783853,0.128808392586382,-0.022810784081631473,0.13452190371092385
17,0.993116797005977,0.00583704402944586,-0.02466025202293368,0.08855235861251816
18,0.831738746719522,0.109524503148757,-0.054876053989960795,0.10532469423363329
19,0.482018450747566,0.141823687599773,0.0048338061945284875,0.15422236744273946
20,0.613518189739508,0.157570093618759,-0.01804616453539614,0.14646297992282364
21,0.728481665216394,0.189224941990209,-0.041063766612683,0.122448540965573
Averages,0.7467367402064896,0.1769337613827347,-0.031709973036143056,0.11984859524258074
