"","x"
"1","Rhodospirillaceae"
"2","Bifidobacteriaceae"
"3","Moraxellaceae"
"4","Gastranaerophilales(order)"
"5","MB_A2_108(class)"
"6","Microbacteriaceae"
"7","Chitinophagaceae"
"8","Victivallaceae"
"9","Family_X"
"10","Bacteriovoracaceae"
"11","Pasteurellaceae"
