"","x"
"1","Acetobacteraceae"
"2","Christensenellaceae"
"3","Veillonellaceae"
"4","Fusobacteriaceae"
"5","Aerococcaceae"
"6","Defluviitaleaceae"
"7","Eubacteriaceae"
"8","Desulfovibrionaceae"
"9","WCHA1_57(class)"
"10","Bacteriovoracaceae"
"11","Aeromonadaceae"
"12","Clostridiaceae_1"
"13","Lineage_IIb(order)"
