Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.789196758613161,0.383812751578953,-0.02391035625329398,0.19232763576417702
2,0.898688666237152,0.0627409363712841,0.07514062117258234,0.1731524064148635
3,0.888822615274446,0.0917036525922063,0.04826466593275661,0.1873309124114721
4,0.95541723273059,0.0401125214562492,-0.13359909082508903,0.15357461392548297
5,0.963396367494817,0.0430623585629953,0.03899737814371949,0.14972678850383073
6,0.894007084484966,0.0219412903727147,-0.15918062153002102,0.16753572030468059
7,0.900552556338664,0.0720532520931553,0.12391242994142626,0.15419122384593348
8,0.937567713486739,0.0872329863364134,0.07138265387285918,0.15272390752898898
9,0.884433482232621,0.0768345266376891,0.055867097185997264,0.1553175585797368
10,0.989993794813387,0,-0.16470199533428237,0.11601561619247537
11,0.684991033192279,0.589762137065946,-0.17453347107359796,0.1444348846780043
12,0.96349469915811,0.037371968388727,-0.06179030111779701,0.15584122106808398
13,0.895522037477356,0.0511896670660629,0.0866997126657596,0.15285533258891065
14,0.969029552193125,0.0295679495187528,-0.13067258894387265,0.12167442471578545
15,0.273269414124238,0.522854102386915,0.091858250450664,0.25648803482532134
Averages,0.8592255338567767,0.14068267336187096,-0.01708437438081262,0.16221268542318318
