"","Christensenellaceae_R_7_group","Prevotella","Family_XIII_AD3011_group","Ruminiclostridium","Corynebacterium","Pseudomonas","Lactobacillus","uncultured","Oscillibacter","Faecalibacterium","Lachnospiraceae_FCS020_group","Hungatella","Sutterella","Veillonella","_Ruminococcus_gauvreauii_group","Ruminococcaceae_UCG_010","Clostridiales_vadinBB60_group(family)","Lachnospiraceae_UCG_001","Ruminococcaceae_UCG_003","Blautia","Burkholderia_Paraburkholderia","Gemella","Leptotrichia","Senegalimassilia","Collinsella","Bacteroides","Porphyromonas","Butyricicoccus","Streptococcus","Intestinibacter","_Eubacterium_hallii_group","Ruminococcaceae_NK4A214_group","Alistipes","Fusobacterium","Bifidobacterium","Subdoligranulum","Coprococcus","Odoribacter","Abiotrophia","Actinomyces","Defluviitaleaceae_UCG_011","Acinetobacter","Anaerococcus","Ruminococcaceae_UCG_014","Roseburia","Candidatus_Soleaferrea","Ruminococcus","_Clostridium_innocuum_group","Anaerotruncus","_Eubacterium_brachy_group","Romboutsia","Anaerofustis","_Eubacterium_xylanophilum_group","Lachnospiraceae_NK4A136_group","Peptococcus","Gordonibacter","Butyricimonas","Rothia","Negativicoccus","Solobacterium","Gastranaerophilales(order)","Desulfovibrio","Ruminococcaceae_UCG_013","Atopobium","Methylobacterium","Lachnoanaerobaculum","Phascolarctobacterium","Family_XIII_UCG_001","Tyzzerella","_Eubacterium_nodatum_group","Erysipelatoclostridium","Parasutterella","Chitinophagaceae(family)","Alloprevotella","vadinBE97(family)","Selenomonas","Megasphaera","Dorea","_Eubacterium_coprostanoligenes_group","Eikenella","Hydrotalea","Victivallis","Ruminococcaceae_UCG_002","Barnesiella","Lachnospiraceae(family)","Parvimonas","Oribacterium","Peptostreptococcus","Lachnospiraceae_UCG_008","Chloroplast(class)","Dialister","Staphylococcus","Anaerostipes","Acidaminococcus","Campylobacter","Lachnospira","Lachnoclostridium","Sellimonas","Haemophilus","Morganella","Aggregatibacter","Stenotrophomonas","Ruminococcaceae_UCG_004","Citrobacter","Parabacteroides","Finegoldia","Fusicatenibacter","Mogibacterium","Dielma","Prevotellaceae_NK3B31_group","Akkermansia","Flavonifractor","Eggerthella","Granulicatella","Lachnospiraceae_ND3007_group","Bilophila","Ruminococcaceae_UCG_005","Methanobrevibacter","Clostridium_sensu_stricto","Christensenella","Peptoniphilus","_Eubacterium_rectale_group","Slackia","Succiniclasticum","Lachnospiraceae_UCG_010","Hafnia_Obesumbacterium","_Eubacterium_ventriosum_group","Varibaculum","Holdemania","Holdemanella","Escherichia_Shigella","_Ruminococcus_gnavus_group","Micrococcus","_Eubacterium_eligens_group","Erysipelotrichaceae_UCG_003"
"X206712",0.0,0.00041407867494824016,4.6008741660915574e-05,0.0034966643662295836,0.0,4.6008741660915574e-05,0.0,0.017713365539452495,0.0,0.027513227513227514,0.0,0.0006901311249137336,0.0,0.0010121923165401427,0.0005060961582700714,0.0,0.0,0.0,0.0,0.03087186565447435,0.0,4.6008741660915574e-05,0.0,0.0,0.0022084195997239477,0.5458017023234415,0.0,0.00023004370830457787,0.0011502185415228894,0.004140786749482402,0.019277662755923627,0.0,0.0001840349666436623,0.00676328502415459,0.00280653324131585,0.017851391764435242,0.0017943409247757074,0.0,0.0,0.00027605244996549346,0.0,0.00013802622498274673,0.0,0.0,0.026224982746721876,4.6008741660915574e-05,0.0006441223832528181,0.0006901311249137336,4.6008741660915574e-05,0.0,0.0,0.0,4.6008741660915574e-05,0.01320450885668277,0.0,4.6008741660915574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00046008741660915573,0.0,0.0,0.0,0.0,0.0,0.00013802622498274673,0.0,0.0006441223832528181,0.0007361398665746492,0.0,0.0,0.0,0.0,0.0,0.00791350356567748,0.0,0.0,0.0,0.0,0.0,0.0,0.0001840349666436623,0.0003680699332873246,0.0,0.00013802622498274673,0.012560386473429951,0.0,0.00239245456636761,4.6008741660915574e-05,0.027099148838279272,0.0,0.00013802622498274673,0.0017023234414538762,0.0021164021164021165,0.0,0.00013802622498274673,0.0,0.0,4.6008741660915574e-05,0.0,0.0,0.04320220841959972,0.0,0.0035886818495514147,0.0,0.0,0.0,0.0,0.001196227283183805,9.201748332183115e-05,9.201748332183115e-05,0.0017483321831147918,0.011180124223602485,0.0,0.0,4.6008741660915574e-05,0.0,0.0,0.11741430871865655,0.0,0.0017483321831147918,0.0001840349666436623,0.0,0.0011502185415228894,0.0,4.6008741660915574e-05,0.0,0.0007361398665746492,0.028019323671497585,0.0,0.0,0.006809293765815505
"X206731",0.016728775113415424,0.35349157485418015,0.0003240440699935191,0.016850291639662993,8.101101749837978e-05,0.00012151652624756967,0.0,0.0649303305249514,0.00012151652624756967,0.18980881399870383,4.050550874918989e-05,0.0,0.008911211924821775,0.0005265716137394685,0.0,0.001134154244977317,0.0004050550874918989,0.0005265716137394685,0.0037670123136746597,0.008708684381075827,0.0,0.000729099157485418,0.0,8.101101749837978e-05,0.0003240440699935191,0.07849967595593,8.101101749837978e-05,0.0005265716137394685,0.01085547634478289,0.00012151652624756967,0.00741250810110175,0.0013771872974724562,0.008425145819831496,0.0,0.015797148412184058,0.04119410239792612,0.002916396629941672,0.0008911211924821776,0.0,0.00012151652624756967,0.0,8.101101749837978e-05,0.0,0.0039290343486714195,0.005225210628645496,4.050550874918989e-05,0.001903758911211925,4.050550874918989e-05,0.0004860661049902787,0.0,0.0,0.0,0.0015392093324692157,0.008141607258587168,0.0,0.0,0.0005670771224886585,0.0,0.0,0.0,0.0,0.0034834737524303307,0.0,0.0,0.0,4.050550874918989e-05,0.01130103694102398,0.0,4.050550874918989e-05,0.0,0.0,0.0017822423849643552,0.0,0.0,4.050550874918989e-05,0.0,0.0,0.0014176928062216462,0.01130103694102398,0.0,0.0,0.001053143227478937,0.017862929358392742,0.0009316267012313674,0.0,0.0,8.101101749837978e-05,0.0,0.019159105638366817,0.0,4.050550874918989e-05,0.0,0.004860661049902786,0.0,0.0,0.002956902138690862,0.0023898250162022036,0.0,0.0014176928062216462,0.0,0.0,0.0,0.00016202203499675956,0.0,0.005184705119896306,0.0,0.0059948152948801035,0.0,0.0,0.0,0.0,0.0004455605962410888,0.0,0.0012961762799740765,0.0014987038237200259,0.001134154244977317,0.0023898250162022036,0.00012151652624756967,0.0,0.00012151652624756967,0.0,0.030784186649384315,0.0,0.0,0.0004860661049902787,4.050550874918989e-05,0.0008506156837329876,0.0,0.0,0.005549254698639015,0.0,0.005225210628645496,0.0,0.00020252754374594945,0.0005670771224886585
"X206761",0.0,0.00034075904076330023,0.0,0.0017037952038165014,4.259488009541253e-05,0.00012778464028623759,0.0,0.00034075904076330023,0.0,0.018613962601695275,0.0,0.0,4.259488009541253e-05,0.010648720023853133,4.259488009541253e-05,0.0,0.0,0.0,0.0,0.0042168931294458405,4.259488009541253e-05,0.00017037952038165011,0.0,0.0,0.0032372108872513526,0.5209353835668953,4.259488009541253e-05,0.0,0.0014908208033394385,0.00021297440047706267,0.013204412829577884,0.0,0.00034075904076330023,0.0005111385611449503,0.004429867529922903,0.025003194616007154,0.004642841930399966,0.0,4.259488009541253e-05,4.259488009541253e-05,0.0,4.259488009541253e-05,0.0,0.0,0.004003918728968778,0.00017037952038165011,4.259488009541253e-05,0.00034075904076330023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.518976019082506e-05,0.0,0.0,0.0,0.0,4.259488009541253e-05,8.518976019082506e-05,0.0,0.0,0.0,0.0,0.04523576266132811,0.0,0.004302082889636666,0.0009796822421944882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009370873620990757,0.0,0.0,8.518976019082506e-05,0.0,0.0,0.0,0.0,4.259488009541253e-05,0.011585807385952208,0.0,0.009157899220513695,8.518976019082506e-05,0.02470503045533927,0.0,0.0,0.016058269795970526,0.00021297440047706267,0.0,0.04515057290113728,0.001448225923244026,8.518976019082506e-05,0.0,4.259488009541253e-05,0.00741150913660178,0.014950802913489799,0.0,0.0012352515227669633,0.0,0.0,0.0,0.0,0.0005537334412403629,0.0005963283213357754,0.00021297440047706267,0.00034075904076330023,0.0,0.0,0.0,0.00012778464028623759,0.0,0.0,0.14333177152106316,0.0,0.0,0.0,0.0,0.0,0.0,0.0002981641606678877,0.0,0.034714827277761214,0.02014737828513013,0.0,0.0006815180815266005,0.0
"X224325",0.001939719486720382,0.006751715905699791,0.0004849298716800955,0.011526410026857654,3.730229782154581e-05,7.460459564309162e-05,0.0,0.013242315726648761,0.0,0.12246344374813488,0.0,3.730229782154581e-05,0.027267979707549985,0.0019770217845419278,0.0,0.0,0.0,0.0002984183825723665,0.012197851387645479,0.004252461951656222,0.0,0.0006714413607878246,0.00011190689346463742,0.0,3.730229782154581e-05,0.3279245001492092,0.07408236347358997,7.460459564309162e-05,0.005819158460161146,7.460459564309162e-05,0.0030587884213667564,0.0016039988063264697,0.06415995225305879,0.0006714413607878246,0.00022381378692927484,0.020068636227991644,0.005819158460161146,0.02249328558639212,0.0006714413607878246,0.0005222321695016413,0.0,3.730229782154581e-05,0.0,0.0,0.00462548492987168,0.0,0.0012682781259325574,7.460459564309162e-05,0.00026111608475082066,0.0,7.460459564309162e-05,0.0,0.003506415995225306,0.0012309758281110117,0.0,0.0,0.0,0.00022381378692927484,0.00026111608475082066,0.00022381378692927484,0.0,0.0,0.0010444643390032826,0.0003357206803939123,3.730229782154581e-05,3.730229782154581e-05,0.0,0.0,0.00022381378692927484,0.0,0.0,0.002573858549686661,0.0,3.730229782154581e-05,0.0,3.730229782154581e-05,0.0004849298716800955,0.0011190689346463742,7.460459564309162e-05,0.00022381378692927484,0.0,0.0,0.04289764249477768,0.009773202029245002,0.0,0.0005595344673231871,0.0,0.0,0.0030214861235452104,0.0,0.023724261414503133,3.730229782154581e-05,0.00041032527603700387,0.0,0.00041032527603700387,0.00018651148910772903,0.005595344673231871,0.0,0.0005222321695016413,0.0,0.00011190689346463742,0.0,0.00026111608475082066,3.730229782154581e-05,0.00693822739480752,0.0,0.0005595344673231871,0.000596836765144733,0.003096090719188302,0.028685467024768724,0.0,0.0010817666368248284,0.00011190689346463742,0.0022008355714712028,0.0,0.035660996717397794,0.0019024171888988362,0.0,0.0,0.0,0.0,0.015592360489406147,0.0,0.0,0.01503282602208296,0.0,0.0003357206803939123,0.0,0.00026111608475082066,0.0,0.04823187108325873,0.002573858549686661,0.0,0.00041032527603700387,0.0005222321695016413
"X219644",0.0,4.3355733795794494e-05,0.00026013440277476696,0.0010405376110990678,4.3355733795794494e-05,0.00026013440277476696,0.0,0.0005202688055495339,0.0,0.07851723390418383,0.0,0.00013006720138738348,0.0,0.0016475178842401909,4.3355733795794494e-05,0.0,0.0,0.0,0.0,0.08636462172122263,0.0,0.00030349013657056146,0.0,0.0,0.0,0.07127682636028615,0.0,0.002644699761543464,0.0009104704097116844,0.0,0.017038803381747236,0.0,8.671146759158899e-05,0.00017342293518317797,0.00026013440277476696,4.3355733795794494e-05,0.0018209408194233688,0.00030349013657056146,0.0,0.0,0.0,0.0,0.00013006720138738348,0.0,0.11038369824409278,0.0,4.3355733795794494e-05,0.0009971818773032734,0.0,8.671146759158899e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013006720138738348,0.0,0.00013006720138738348,0.0,0.0,0.0,4.3355733795794494e-05,0.0,0.0,0.0,0.0,0.0,4.3355733795794494e-05,0.05003251680034684,0.0,0.0,0.00017342293518317797,0.0,0.0,0.0,0.10336006936917408,0.0,0.0,0.0,0.0,0.0010838933448948623,0.001300672013873835,0.0,0.00043355733795794494,0.00043355733795794494,0.00013006720138738348,0.007847387817038804,0.0,0.0006503360069369175,0.00013006720138738348,0.17381313678734012,0.00034684587036635595,0.0,0.0012139605462822458,0.0012573162800780403,0.0,0.00039020160416215044,0.0,0.0,0.0,0.0,0.0,0.00013006720138738348,0.00017342293518317797,0.003251680034684587,0.0,0.0006503360069369175,0.0,0.0,0.0035551701712551484,0.00026013440277476696,0.0007370474745285064,0.00034684587036635595,0.0,0.0,0.0,0.0,0.0,4.3355733795794494e-05,0.0763060914805983,0.0,0.0,0.013743767613266854,0.0,0.00047691307175373943,8.671146759158899e-05,0.0,0.0,0.0,0.1819206590071537,0.0,0.0,0.0
"X219645",0.0,0.0,0.0,0.00013000520020800833,0.0,0.0,4.3335066736002776e-05,0.008840353614144566,0.0,0.2644739122898249,0.0,4.3335066736002776e-05,4.3335066736002776e-05,0.00013000520020800833,0.0,0.0,0.0,0.0,0.0,0.0010400416016640667,0.0,0.0,0.0,0.0,4.3335066736002776e-05,0.4385508753683481,0.0,0.0018634078696481192,0.000390015600624025,0.0003466805338880222,0.005720228809152366,0.0,4.3335066736002776e-05,0.00013000520020800833,0.0018200728029121164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3335066736002776e-05,0.015297278557808979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002296758537008147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010833766684000693,0.0,0.0,0.0,0.0,0.0,0.03692147685907436,0.0,0.004983532674640319,0.022837580169873462,0.0,0.0,0.0,0.0,0.0,0.004983532674640319,0.0,0.00013000520020800833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016510660426417058,4.3335066736002776e-05,0.0001733402669440111,0.0,0.014777257756976945,0.0,0.0,0.013390535621424856,0.05295545155139539,0.0,4.3335066736002776e-05,0.0,8.667013347200555e-05,0.0,0.0,0.00013000520020800833,4.3335066736002776e-05,0.0,0.0029467845380481885,0.0,0.0,0.0,4.3335066736002776e-05,0.0,8.667013347200555e-05,0.0001733402669440111,0.0,0.0,0.0,0.0,0.0036834806725602356,0.0,0.0,0.017550702028081122,0.0004766857340960305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06461258450338013,4.3335066736002776e-05,0.0,0.0
"X219670",0.005287384921622294,0.0,0.0019283403831798955,0.02040308534461309,0.0001244090569793481,0.0006220452848967405,0.0,0.015488927593928838,6.220452848967405e-05,0.21298830554864395,0.0001244090569793481,0.0,0.002985817367504354,0.0005598407564070665,0.0001244090569793481,0.0,0.0002488181139586962,0.0005598407564070665,0.002363772082607614,0.0075267479472505595,0.0,0.0,0.0,0.0002488181139586962,0.00031102264244837026,0.06587459567056482,0.0002488181139586962,0.003670067180890769,0.0009330679273451107,0.0010574769843244589,0.00553620303558099,0.004540930579746205,0.023513311769096792,0.0,0.003856680766359791,0.05131873600398109,0.01306295098283155,0.0009952724558347848,0.0,0.00018661358546902214,0.0003732271709380443,6.220452848967405e-05,0.0,0.04851953222194576,0.012503110226424483,0.0008086588703657626,0.11551380940532471,0.0001244090569793481,0.001119681512814133,0.0,0.008086588703657626,0.0001244090569793481,0.002425976611097288,0.0179771087335158,0.0001244090569793481,0.0,0.0,0.0,0.0,0.0001244090569793481,0.0006842498133864145,0.0,0.0010574769843244589,0.0,0.0,0.0,0.011570042299079373,0.00018661358546902214,0.0,0.0,0.0010574769843244589,0.0005598407564070665,0.0001244090569793481,0.0,0.0,0.0,0.0,0.018599154018412542,0.008210997760636975,0.0,6.220452848967405e-05,0.0,0.041801443145060964,0.00031102264244837026,0.0,0.0,0.0,6.220452848967405e-05,0.033279422741975616,0.0,0.056232893754665336,6.220452848967405e-05,0.007588952475740234,0.0,0.0,0.0002488181139586962,0.008646429460064694,6.220452848967405e-05,0.0002488181139586962,0.0,0.0,0.0,0.0,0.0,0.03900223936302563,6.220452848967405e-05,0.03396367255536203,0.0,0.0,0.011259019656631003,0.0,0.001430704155262503,0.0,6.220452848967405e-05,6.220452848967405e-05,0.0066558845483951235,0.002674794725055984,0.0,6.220452848967405e-05,0.0001244090569793481,0.0,0.03638964916645932,0.0,0.0,0.0,0.0,0.01107240607116198,0.0,0.00031102264244837026,0.0,0.0007464543418760885,0.007775566061209256,0.0,0.0003732271709380443,0.002674794725055984
