"","Acetobacteraceae","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Pasteurellaceae","Corynebacteriaceae","Peptococcaceae","Solibacteraceae_Subgroup_3_","Pseudomonadaceae","Sphingomonadaceae","Lactobacillaceae","Rhodospirillaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Flavobacteriaceae","Erysipelotrichaceae","Clostridiales_vadinBB60_group","DA101_soil_group","Burkholderiaceae","Family_XI","Leptotrichiaceae","Sphingobacteriaceae","Coriobacteriaceae","Bacteroidaceae","Porphyromonadaceae","Streptococcaceae","Peptostreptococcaceae","Leuconostocaceae","Rikenellaceae","Opitutaceae","Fusobacteriaceae","Caulobacteraceae","Bifidobacteriaceae","Aerococcaceae","Actinomycetaceae","Defluviitaleaceae","Moraxellaceae","Hyphomicrobiaceae","Oxalobacteraceae","Thermaceae","Cellulomonadaceae","Eubacteriaceae","Cytophagaceae","Micrococcaceae","Gastranaerophilales(order)","Desulfovibrionaceae","Blastocatellaceae_Subgroup_4_","Methylobacteriaceae","Mollicutes_RF9(order)","Erythrobacteraceae","Acidaminococcaceae","Bacteroidales_S24_7_group","Unknown_Family","Anaerolineaceae","Chromatiaceae","OPB56","OPB35_soil_group(class)","Synergistaceae","Tectomicrobia(phylum)","NS11_12_marine_group","Nocardiaceae","Nocardioidaceae","Methanobacteriaceae","Neisseriaceae","Chitinophagaceae","Rhizobiaceae","Planctomycetaceae","uncultured","env_OPS_17","Intrasporangiaceae","Thermoplasmatales_Incertae_Sedis","Xanthobacteraceae","Streptomycetaceae","Chloroplast(class)","Geodermatophilaceae","Family_X","Staphylococcaceae","Campylobacteraceae","Coxiellaceae","ML635J_21(class)","Brevibacteriaceae","Methylophilaceae","Enterobacteriaceae","FamilyI","Anaeroplasmataceae","Microbacteriaceae","Verrucomicrobiaceae","Carnobacteriaceae","Helicobacteraceae","TK10(class)","Candidatus_Nomurabacteria(class)","Aeromonadaceae","Clostridiaceae_1","Propionibacteriaceae","Bogoriellaceae","Bradyrhizobiaceae","Cellvibrionaceae","Subgroup_2(class)","Rhodocyclaceae","Dermabacteraceae","Pseudonocardiaceae"
"X206670",0.0,0.0003748687959214275,0.002549107812265707,3.748687959214275e-05,0.0012370670265407107,0.0,0.24265257159994003,0.0002249212775528565,0.0,0.0002249212775528565,0.0,0.00011246063877642825,0.0,0.0,0.0,0.23170640275903434,0.0299895036737142,0.0390238416554206,0.0,0.014507422402159244,0.000149947518368571,0.0,0.0,3.748687959214275e-05,0.0,0.0,0.00011246063877642825,0.3013195381616434,0.0,0.0012370670265407107,0.00026240815714499927,0.0,0.0620782726045884,0.0,0.00041235567551357026,0.0,0.0005248163142899985,0.0,0.0,0.0,3.748687959214275e-05,0.0,0.0,0.0,0.0,0.00033738191632928474,0.0,3.748687959214275e-05,0.0014619883040935672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011246063877642825,0.0,0.0,0.0,0.06923826660668767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206669",0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.010638297872340425,0.0851063829787234,0.0,0.0,0.5106382978723404,0.0,0.0,0.0,0.0425531914893617,0.0,0.02127659574468085,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05319148936170213,0.0,0.0,0.02127659574468085,0.0,0.0,0.09574468085106383,0.0,0.0,0.0,0.07446808510638298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206675",0.0,0.0,0.0,0.00025316455696202533,0.002531645569620253,0.0,0.32354430379746835,0.0,0.0,0.0007594936708860759,0.0,0.0037974683544303796,0.0,0.002278481012658228,0.0,0.2691139240506329,0.015443037974683544,0.0015189873417721519,0.0,0.006329113924050633,0.0,0.0,0.0,0.007594936708860759,0.0,0.0,0.0012658227848101266,0.2478481012658228,0.0030379746835443038,0.004050632911392405,0.0005063291139240507,0.0,0.05721518987341772,0.0,0.0,0.0007594936708860759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025316455696202533,0.0,0.0,0.0005063291139240507,0.0,0.0017721518987341772,0.0,0.0,0.0027848101265822785,0.0,0.01949367088607595,0.0,0.0,0.0010126582278481013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005063291139240507,0.0015189873417721519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007594936708860759,0.0005063291139240507,0.0,0.0,0.0,0.0,0.0,0.011139240506329114,0.0,0.0,0.0,0.0,0.0017721518987341772,0.0,0.0,0.0,0.0,0.008354430379746836,0.0,0.0012658227848101266,0.0,0.0005063291139240507,0.0,0.0,0.0,0.0
"X206677",0.0,0.0002584647195657793,0.0,0.0015507883173946756,0.0027138795554406824,0.0002584647195657793,0.2526492633755492,0.16619281468079608,0.0,0.0,0.0,0.004264667872835358,0.0006461617989144482,0.0,0.0,0.25626776944947016,0.0002584647195657793,0.013827862496769192,0.0012923235978288964,0.012147841819591625,0.0,0.0,0.0,0.005040062031532695,0.0,0.0060739209097958125,0.00012923235978288964,0.13194623933833033,0.00361850607392091,0.02894804859136728,0.0,0.0,0.0,0.0,0.005427759110881365,0.0,0.0,0.0,0.00012923235978288964,0.0,0.0,0.0002584647195657793,0.0012923235978288964,0.0,0.0,0.0,0.0,0.002455414835874903,0.0,0.0,0.0027138795554406824,0.0,0.0,0.0027138795554406824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008658568105453606,0.0,0.006720082708710261,0.0,0.0,0.0,0.0002584647195657793,0.0,0.0,0.0002584647195657793,0.0,0.0005169294391315585,0.0,0.00012923235978288964,0.002455414835874903,0.0,0.00361850607392091,0.0,0.0,0.07224088911863531,0.0,0.0,0.00012923235978288964,0.00012923235978288964,0.0016800206771775653,0.0,0.0,0.0,0.00012923235978288964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206678",0.0,0.0008260561718196837,0.0,0.0002360160490913382,0.003422232711824404,0.0,0.21111635591220204,0.032216190700967665,0.0,0.0,0.0,0.00129808827000236,0.0018881283927307056,0.0,0.0,0.3345527495869719,0.0002360160490913382,0.0029502006136417278,0.0,0.017583195657304696,0.0,0.0,0.0,0.00035402407363700734,0.0,0.0,0.00660844937455747,0.3029265990087326,0.016639131460939344,0.013688930847297616,0.0029502006136417278,0.0,0.0001180080245456691,0.0,0.0,0.0,0.0,0.0,0.0005900401227283455,0.0,0.001180080245456691,0.0,0.00035402407363700734,0.0,0.0,0.0,0.0016521123436393675,0.001062072220911022,0.0,0.0002360160490913382,0.0,0.0,0.0,0.0,0.0,0.0,0.0005900401227283455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002360160490913382,0.0,0.0,0.0,0.0,0.0,0.04083077649280151,0.0,0.0,0.0,0.00035402407363700734,0.0028321925890960587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004720320981826764,0.0,0.0
"X206684",0.0,0.0,0.0001321178491214163,0.00039635354736424893,0.0002642356982428326,8.80785660809442e-05,0.33487470823974985,0.0018496498876998282,0.0,0.0015413749064165235,0.0,4.40392830404721e-05,0.0,0.0,0.0,0.16598405777953934,0.04875148632580262,8.80785660809442e-05,0.0,0.0017175320385784119,0.0001761571321618884,0.0,0.0,0.0033029462280354076,0.0,0.0,0.0003082749812833047,0.4202668780552253,0.0002201964152023605,0.002201964152023605,0.0009248249438499141,0.0,0.0003082749812833047,0.0,0.0,0.0,0.001321178491214163,0.0,0.0,0.0,8.80785660809442e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0002642356982428326,0.0,0.0,0.0,0.0,0.0,0.0,0.014709120535517681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001321178491214163,0.0,0.0,0.0,0.0,4.40392830404721e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206683",0.0,4.3533150494101256e-05,0.0,0.0,0.0003047320534587088,0.0,0.3668973923642854,0.0022637238256932655,0.0,0.001349527665317139,0.0,0.0005659309564233164,0.0,0.0,0.0,0.2178398850724827,0.018806321013451744,0.0001305994514823038,0.0,0.011536284880936833,0.0,0.0,0.0,0.0003047320534587088,0.0,0.0,0.0018719254712463542,0.36202167950894604,0.0,0.002350790126681468,0.001697792869269949,0.0,0.00021766575247050628,0.0,0.0,0.0,0.0009577293108702277,0.0,0.00017413260197640502,0.0,0.00021766575247050628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007748900787950024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.706630098820251e-05,0.0,0.0,0.0,0.0,0.0,0.00034826520395281004,0.0,0.0,0.0,0.0,0.0022637238256932655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206571",0.0,0.0,0.0,0.0,0.0,0.0,0.09676679660628296,0.03500726133149889,0.0,0.0,0.0,0.000993655889322021,0.0,0.0,0.0,0.10463960865244974,0.0,0.00687915615684476,0.0,0.0018344416418252694,0.0,0.0,0.0,0.00045861041045631735,0.0,0.0,0.0,0.4910188794618971,0.0,0.002598792325919132,0.0007643506840938623,0.0,0.0,0.0,0.007567071772529237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022930520522815867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022930520522815867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022930520522815867,0.0,0.0,0.00015287013681877245,0.0,0.0,0.0,0.0,0.0,0.24772605671482076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028280975311472905,7.643506840938622e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206603",0.0,0.0,0.0,0.0,0.0,0.0,0.12315416420555228,0.049995780946755546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1361910387309088,0.0,0.007172390515568307,0.0,0.003501814192895114,0.0,0.0,0.0,0.00021095266222259724,0.00029533372711163615,0.0,4.219053244451945e-05,0.43764239304700026,0.0,0.0022782887520040505,0.0008860011813349084,0.0,0.0,0.0,0.009492869800016877,0.0,0.0,0.0,8.43810648890389e-05,0.0,0.0,4.219053244451945e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.219053244451945e-05,0.00012657159733355834,0.0,0.0,0.0,0.0,0.22571934857817905,0.0,0.0,0.0,0.0,0.0002531431946671167,0.0,0.0,0.0,0.0,0.0028689562062273227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206572",0.0,7.052186177715091e-05,0.0,0.0,0.0,0.0,0.04978843441466855,0.03596614950634697,0.0004231311706629055,0.0,0.0,0.0,0.0,0.0,0.0,0.14802538787023978,0.0,0.003455571227080395,0.0,0.004724964739069111,0.0,0.0,0.0,0.0004231311706629055,0.0,0.0,0.00014104372355430183,0.32447108603667135,0.0009873060648801129,0.002256699576868829,0.0,0.0,0.0,0.0,0.004301833568406206,0.0,0.0,0.0,0.0006346967559943583,0.0,7.052186177715091e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028208744710860365,0.0,0.0,0.0,0.0,0.0,0.00021156558533145275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028208744710860365,0.0,0.0,0.0,0.0004231311706629055,0.0,0.42235543018335686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007052186177715092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
