"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Acidobacteria","Fusobacteria","Deinococcus_Thermus","Tenericutes","Cyanobacteria","Verrucomicrobia","Synergistetes","Lentisphaerae","Planctomycetes","Euryarchaeota"
"X206657",0.017089026431546576,0.4095916540153373,0.41013663435711784,0.0003892716727003776,0.0,0.0,7.785433454007552e-05,0.00015570866908015105,0.01163922301374129,0.1509206275059364,0.0,0.0,0.0,0.0
"X215003",0.15365489806066635,0.5576827449030333,0.28319244157135753,0.0032322227747389356,0.0,0.001989060169070114,0.0,0.0,0.0002486325211337643,0.0,0.0,0.0,0.0,0.0
"X215007",0.050238955589229514,0.3450868399580371,0.595232544585616,0.0010490733185685977,0.0,0.0015736099778528966,0.0,0.0,0.0,0.0068189765706958855,0.0,0.0,0.0,0.0
"X215009",0.0410240989733236,0.48245199536062544,0.43940890931741056,0.005025989088878388,0.0,0.00017182868679926113,0.0,0.007302719188968599,0.013445594742042185,0.010524507066454745,0.00017182868679926113,0.00047252888869796813,0.0,0.0
"X215048",0.11879134985681841,0.49017478029031303,0.37296336526118296,0.0016786807544188801,0.0004937296336526119,0.009775846746321714,0.0,0.005727263750370297,0.0,9.874592673052236e-05,0.0,0.0,0.0002962377801915671,0.0
"X215055",0.08361224001912503,0.536815682524504,0.34048529763327756,0.005498446091322017,0.0,0.010399234998804685,0.0,0.0,0.0016734401147501792,0.020678938560841503,0.0,0.0004781257470714798,0.0,0.00035859431030360985
"X215057",0.0969244754185289,0.503257328990228,0.3849708355427619,0.0007575183698204682,0.0,7.575183698204681e-05,0.0,0.0032194530717369898,0.0,0.00988561472615711,7.575183698204681e-05,0.0003408832664192107,0.0,0.0004923869403833043
"X215077",0.03071140447378071,0.5675192519251925,0.37962962962962965,0.004308764209754309,0.0,0.00041254125412541255,0.0,0.0016043270993766044,0.0001375137513751375,0.015676567656765675,0.0,0.0,0.0,0.0
"X222171",0.05283559450577231,0.27664953231650796,0.668071121597708,0.001853880508974467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005898710710373304,0.0,0.0
"X224845",0.040776336661379115,0.6871325930764206,0.26943174395819725,0.0013996454231594662,0.0,0.0012596808808435197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
