"","x"
"1","Oscillibacter"
"2","Chryseobacterium"
"3","_Ruminococcus_gauvreauii_group"
"4","Leptotrichia"
"5","Defluviitaleaceae_UCG_011"
"6","Peptococcus"
"7","Solobacterium"
"8","Blastocatella"
"9","Scardovia"
"10","H16"
"11","Paenibacillus"
"12","Rikenellaceae_RC9_gut_group"
"13","Anaerostipes"
"14","Sellimonas"
"15","Citrobacter"
"16","Turicibacter"
"17","Dielma"
"18","Proteiniclasticum"
"19","Methanobrevibacter"
"20","Micrococcus"
