Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.268115888536014,0.27907092966868,-0.01159855008715263,0.04486495611044191
2,0.964243969461249,0,-0.007120911926945282,0.04481696540573165
3,0.906476550536749,0.147719644640392,0.0038511732835561563,0.05035164082939314
4,0.514842363259794,0.187614341882105,0.0003883614409461134,0.06729665712712722
5,0.742568836805087,0,-0.01757102918650599,0.04657848823074433
6,0.496854219034401,0.353048273883046,-0.020092895463894117,0.06078890214043265
7,0.535336068739352,0.257505691093765,-0.0026818364600303753,0.06284447162470286
8,0.249314218667164,0.231737920738489,-0.005180017974514557,0.04818273112243771
9,0.216080513069228,0.163094882172141,-0.008969559871977412,0.08228175464220308
10,0.635329924564068,0.0558566695169232,-0.017830520783767508,0.04539429354540389
11,0.944787816079521,0.112250210715651,-0.020646591180436324,0.027351215379618633
12,0.642665441009095,0.137775200109775,-0.008670514458489553,0.04965990806768904
13,0.832129186061438,0,-0.010246823317386872,0.03629854745977035
14,0.905271402086255,0.165726376646477,0.009400366550223378,0.05866820987416659
15,0.251770553935977,0.48259602307588,-0.0049132676131000246,0.04941080032958243
16,0.536467631696915,0.481413886723828,-0.0078907413296533,0.040250610564671725
17,0.488999741330899,0.278129940930166,-0.005920590422423329,0.0663451759995946
18,0.84363412235958,0.195092646351805,0.00017278844824351715,0.04848995875137274
19,0.65993833098029,0.260527237298977,-0.005355607499764277,0.053607159450289564
20,0.668124964804027,0,0.01830949571181072,0.06631592604287895
21,0.134225247978992,0.269462712579095,-0.006564743846706933,0.04236400455599509
22,0.795621526338299,0.309062629757468,0.011261150990739455,0.054699450113987844
23,0.829207488222072,0.147910653975839,-0.003654068139545027,0.04174357342753896
24,0.534701751673763,0.204179881782553,-0.011050884042931263,0.04851737987541553
25,0.983381854101996,0.0182042667444974,-0.009362487751475164,0.025674418643055134
26,0.506421660052688,0,-0.03329701290388694,0.0418060618430282
Averages,0.618711971976343,0.18223000078029047,-0.006739819916733366,0.05017704850604899
