"","Alphaproteobacteria","Betaproteobacteria","Clostridia","Bacteroidia","Actinobacteria","Gammaproteobacteria","Flavobacteriia","Bacilli","Negativicutes","Erysipelotrichia","Fusobacteriia","Sphingobacteriia","Deinococci","Coriobacteriia","Spirochaetes","Deltaproteobacteria","Nitrospira","Mollicutes","WCHA1_57","Methanobacteria","Proteobacteria_Incertae_Sedis","Chloroplast","Synergistia","Spartobacteria","Epsilonproteobacteria","Cytophagia","Verrucomicrobiae","Elusimicrobia"
"X206758",0.0,0.0,0.3386491221797118,0.4380519898451747,0.013623198769978903,0.02173990774841778,0.0,0.014731648013730468,0.1571494976221976,0.015267994421997354,0.0002502949905245468,0.0,0.0,0.0005005899810490936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0
"X206702",0.0,0.0005357908272610373,0.0013394770681525933,0.0030004286326618087,5.357908272610373e-05,0.9919095585083584,0.0009644234890698671,0.0009644234890698671,0.0,0.0003214744963566224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009108444063437634,0.0,0.0
"X206708",0.0,0.003911678418858407,0.623552421637758,0.32734572031499304,0.0010293890575943177,0.0023675948324669307,0.0,0.0031911060785423852,0.005249884193731021,0.02954346595295692,0.0011323279633537494,0.0002573472643985794,0.0,0.0005146945287971588,0.0,0.001904369756549488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",4.1017227235438884e-05,0.0005742411812961444,0.5054552912223134,0.4126743232157506,0.0008203445447087777,0.03506972928630025,0.0,0.0074241181296144385,0.014602132895816243,0.013412633305988516,0.001435602953240361,0.0,0.0,0.0002871205906480722,0.0,0.007916324856439705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012305168170631667,0.0,0.00016406890894175554,0.0
"X206721",0.00012961202799619806,0.05054869091851724,0.28596733776894495,0.6090901235634667,0.00047524410265272616,0.0015121403266223105,4.320400933206602e-05,0.0005184481119847922,0.03957487254817247,0.0016849563639505746,0.0023330165039315647,0.0,0.0,0.00017281603732826408,0.0,0.007949537717100146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206724",0.0,0.008480403392161356,0.28107571243028495,0.1649476659790664,0.00026740010696004276,0.5323172129268852,3.8200015280006115e-05,0.005118802047520819,0.001031400412560165,0.0004966001986400795,0.005386202154480862,0.0,0.0,0.00019100007640003057,0.00019100007640003057,0.00026740010696004276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019100007640003057,0.0,0.0,0.0
"X206728",0.0001833583923136162,0.03307785397337636,0.6483552752209468,0.24988081704499615,0.00044006014155267885,0.016942315449778138,3.667167846272324e-05,0.0013201804246580366,0.005757453518647549,0.0065642304448274595,0.02853056584399868,3.667167846272324e-05,3.667167846272324e-05,0.0004767318200154021,0.0,0.008251127654112728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011001503538816971,0.0,0.0,0.0
"X206733",0.0,0.012425877806649343,0.22503164767805983,0.7124392031447798,3.331334532613765e-05,0.040808848024518625,0.0,0.00036644679858751413,0.002565127590112599,0.0004997001798920647,0.004897061762942235,0.0,0.0,0.0008994603238057165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.331334532613765e-05,0.0
"X206750",0.00017909592377677485,0.0003581918475535497,0.39623182176373667,0.5271151228598037,0.0013611290207034888,0.019413998137402393,0.0,0.006805645103517444,0.028297155956730425,0.003331184182248012,3.581918475535497e-05,3.581918475535497e-05,0.0,0.0003581918475535497,0.0,0.016226090694175802,0.0,3.581918475535497e-05,0.0,0.0,0.0,0.0,3.581918475535497e-05,7.163836951070993e-05,0.0,0.0,0.0001074575542660649,0.0
"X206756",0.0001702562356346301,0.08810760194092108,0.34259811015578445,0.5057461479526688,0.00021282029454328764,0.007533838426832383,0.0,0.0019579467097982466,0.01600408614965523,0.005703583893760109,0.00021282029454328764,0.0,0.0,0.00025538435345194517,0.0,0.020813824806333533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010683578786073039,0.0
