"","Betaproteobacteria","Clostridia","Bacteroidia","Alphaproteobacteria","Actinobacteria","Gammaproteobacteria","Sphingobacteriia","Bacilli","Negativicutes","Flavobacteriia","Erysipelotrichia","Fusobacteriia","Deinococci","Coriobacteriia","Deltaproteobacteria","Blastocatellia","Mollicutes","Chloroplast","Epsilonproteobacteria","Verrucomicrobiae","Cytophagia","Methanobacteria"
"X206695",0.006211180124223602,0.2639751552795031,0.13871635610766045,0.018633540372670808,0.021739130434782608,0.4192546583850932,0.0,0.030020703933747412,0.019668737060041408,0.0,0.0,0.009316770186335404,0.0010351966873706005,0.004140786749482402,0.014492753623188406,0.0,0.0,0.051759834368530024,0.0,0.0010351966873706005,0.0,0.0
"X206700",0.0028191436436602432,0.19996020032503067,0.20277934396869093,0.0,0.0,0.30171470266326156,0.0,0.0033498059765845246,0.07429272660939935,0.0,0.020165168651122684,0.19200026533116646,0.0,6.633279161553514e-05,0.0,0.0,0.0,0.0,0.002852310039468011,0.0,0.0,0.0
"X206757",0.0,0.28617060485687373,0.496171014374053,0.0,0.019861583193414963,0.02141774847454851,0.0,0.010196977763217168,0.1450509848888161,0.0,0.020926327859453704,4.095171792456694e-05,0.0,8.190343584913388e-05,4.095171792456694e-05,0.0,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0
"X206701",0.0016907270126154247,0.004812069189751593,0.004421901417609572,0.0,0.0018207829366627649,0.975159318506958,0.0,0.004161789569514892,0.001040447392378723,0.0013005592404734035,0.0,0.005072181037846274,0.0005202236961893615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",0.02079049577336075,0.396435915010281,0.5467671921407357,0.0,0.00018277358921635825,0.0037925519762394334,0.0,0.0009595613433858808,0.009367146447338359,0.0,0.006351382225268449,0.0005026273703449851,0.0,0.000731094356865433,0.014119259766963673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206747",0.0004204109517052919,0.49529665247779703,0.4507330915970361,0.0,0.0008408219034105838,0.02648588995743339,0.0,0.003100530768826528,0.008355667665142678,0.0,0.007146986178989963,0.001996952020600137,0.0,0.00021020547585264595,0.00530768826527931,0.0,0.0,0.0,0.00010510273792632298,0.0,0.0,0.0
"X206720",0.039314552961379666,0.32248163981146555,0.5787204501443238,0.0,0.0008403668383938032,0.009682487485841646,0.0,0.0012422814132777961,0.03467426650590084,0.0,0.0023749497606781393,0.0018999598085425117,0.0,0.0002923015090065402,0.008476743761189667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206723",0.0,0.13580246913580246,0.037037037037037035,0.0,0.0,0.8148148148148148,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206727",0.06690288413913971,0.5504629100468625,0.29028079399550427,3.809959233436202e-05,0.0008000914390216024,0.047243494494608906,0.0,0.0006476930696841544,0.003543262087095668,0.0,0.0067055282508477155,0.024040842762982437,0.0,0.00026669714634053413,0.009067702975578162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206734",0.025298134105283032,0.2041785972751015,0.6810043736823889,0.0,3.1465340926968945e-05,0.07677543186180422,0.0,0.00015732670463484473,0.002643088637865391,0.0,0.0006293068185393789,0.008432711368427676,0.0,0.0008495642050281615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206751",3.933291378225299e-05,0.46471837633731905,0.4758495909376967,3.933291378225299e-05,3.933291378225299e-05,0.013097860289490245,0.0,0.0003933291378225299,0.021790434235368156,0.0,0.006529263687853996,0.0,0.0,0.00015733165512901197,0.016991818753933293,0.0,3.933291378225299e-05,0.0,3.933291378225299e-05,0.00011799874134675897,0.0,0.00015733165512901197
"X206755",0.054105382253111366,0.4793922741231615,0.40835623080652983,0.00016162922256343946,0.00020203652820429934,0.004889283982544044,0.0,0.0023436237271698725,0.021577501212219168,0.0,0.005091320510748344,0.00016162922256343946,0.0,0.0003232584451268789,0.014102149668660094,0.0,0.0,0.0,0.0,0.00929368029739777,0.0,0.0
"X206767",0.009205884883420803,0.2987180590209068,0.5181966789985374,0.0011184719951819668,0.0013765809171470361,0.10978232814247613,0.0,0.004387851673406177,0.018927987610771746,0.0,0.004387851673406177,0.029596489718661276,0.0,8.603630732168976e-05,0.004215779058762798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206769",0.0,0.01845018450184502,0.014760147601476014,0.005535055350553505,0.04797047970479705,0.7527675276752768,0.0,0.13099630996309963,0.02029520295202952,0.0,0.0,0.0,0.0,0.0,0.00922509225092251,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224328",0.03371173030615755,0.3416657111187555,0.4832396896380384,0.0,0.008714596949891068,0.11703550816037916,0.0,0.0005351068302564691,0.002599090318388564,0.0,0.00886748461567863,0.00015288766578756258,0.0,0.0,0.003478194396667049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219633",0.0073937153419593345,0.8170671595810228,0.14041897720271104,0.0004313000616142945,0.0004929143561306223,0.0025261860751694394,0.0,0.010104744300677758,0.0022797288971041284,0.0,0.015095502156500308,0.00018484288354898336,0.0,0.00030807147258163895,0.0036968576709796672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219637",0.0,0.1375,0.0,0.2,0.0,0.0875,0.2875,0.0125,0.0,0.1625,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.075,0.0
"X219654",0.014946230026125523,0.5780424084087733,0.17406889847499848,0.00036454219575915913,0.014277902667233732,0.016161370678656053,0.0,0.0020657391093019018,0.05237256212406586,0.0028555805334467463,0.010085667416003403,0.005285861838507808,0.0,0.0009113554893978978,0.01780181055957227,0.0,0.0,0.0,0.0,0.09745428033294853,0.0,0.013305790145209308
