"","x"
"1","Sphingomonas"
"2","Porphyromonas"
"3","Saccharomonospora"
"4","Ruminococcaceae_UCG_013"
"5","Scardovia"
"6","Paenibacillus"
"7","Peptostreptococcus"
"8","Anaerostipes"
"9","Lachnoclostridium"
"10","Haemophilus"
"11","Cytophaga"
"12","Turicibacter"
"13","Akkermansia"
"14","Lachnospiraceae_ND3007_group"
"15","Holdemanella"
"16","Brachybacterium"
