"","x"
"1","Acetobacteraceae"
"2","Christensenellaceae"
"3","Leptotrichiaceae"
"4","Bifidobacteriaceae"
"5","Actinomycetaceae"
"6","Defluviitaleaceae"
"7","Oxalobacteraceae"
"8","Blastocatellaceae_Subgroup_4_"
"9","Methylobacteriaceae"
"10","0319_6A21"
"11","Mollicutes_RF9(order)"
"12","Bacteriovoracaceae"
"13","Chloroplast(class)"
"14","Enterobacteriaceae"
"15","Verrucomicrobiaceae"
"16","Clostridiaceae_1"
"17","Polyangiaceae"
