"","x"
"1","Pseudomonadaceae"
"2","Erysipelotrichaceae"
"3","Eubacteriaceae"
"4","Peptococcaceae"
"5","Desulfovibrionaceae"
"6","Micromonosporaceae"
"7","Thermoanaerobacteraceae"
"8","Neisseriaceae"
"9","Victivallaceae"
"10","Carnobacteriaceae"
"11","Xanthomonadaceae"
"12","Gemmatimonadaceae"
"13","Cellvibrionaceae"
