Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.887161446189289,0.126388135951616,-0.004984273160230269,0.11735968330391522
2,0.579331473918817,0.321441287879796,0.027962537301028198,0.1170892636830026
3,0.91277811100832,0.100071735019884,0.0270743967292869,0.11986676846747134
4,0.562070990963428,0,-0.027071902953457044,0.11886294720486383
5,0.928520138100043,0.0865170911077096,-0.021138612414766795,0.10089136288852248
6,0.854284466469121,0.102006564157151,-0.03176173637601002,0.09124625823137267
7,0.728051680000554,0,-0.012104102402549381,0.1156035724002966
8,0.578451568614484,0.140559531081102,-0.009309494060490704,0.13736377868176378
9,0.677908774649461,0.20332681305871,-0.05884811681549574,0.1005982850870123
10,0.817505791941218,0.150444396199701,-0.03506120999353599,0.09038989344367208
11,0.739277787586616,0.174896708318121,0.010901147900530863,0.13033355214437953
12,0.575814737715508,0,-0.01996940541031949,0.1219725736011028
13,0.732515939977098,0.147279902684285,-0.00734288272334373,0.1296376069970053
14,0.858586959588528,0.142477387358427,-0.00690275306099391,0.0897713416564997
15,0.76048238591328,0.206831742239168,-0.04756013429589893,0.09351450243550646
16,0.825731676515892,0.136176587916583,-0.0589108846550293,0.10169413407732392
17,0.646620467127467,0.18583352586133,-0.023114498630128863,0.13415925113437824
18,0.578900086750565,0.156785865590191,0.014241519485559821,0.11466181715634392
19,0.990011067896818,0.0214328049167367,-0.04360898334466398,0.06375935955260593
20,0.707695423214061,0.14784120649439,-0.023171476531388555,0.11698591434095623
21,0.905602539819365,0.104558688050638,-0.04494740583993223,0.07356849784762519
22,0.832925070067526,0.171807990120052,-0.029197673756026193,0.10356653479995907
23,0.809154150544268,0.178074512622547,-0.015039440506321604,0.11700252132409934
24,0.922553862079438,0.137037503122683,-0.07127647460384316,0.06620580458602926
25,0.83979457516915,0.147927092977835,-0.044005192346308904,0.09187087429379075
Averages,0.7700692468728125,0.13158868290914627,-0.022205882098573167,0.10631904397357998
