"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Chloroflexi","Fusobacteria","Deinococcus_Thermus","Fibrobacteres","Spirochaetae","Cyanobacteria","Acidobacteria","Synergistetes","Nitrospirae","Planctomycetes","WSA2","Verrucomicrobia","Tectomicrobia","Lentisphaerae","Parcubacteria","Euryarchaeota","Tenericutes","Elusimicrobia"
"X206757",0.0214996519104,0.462344895368,0.496171014374,0.0199434866293,0.0,4.09517179246e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206758",0.0217756641756,0.525798262238,0.438051989845,0.014123788751,0.0,0.000250294990525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.992445349336,0.00262537505358,0.00487569652808,5.35790827261e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206701",0.97685004552,0.0100143061516,0.00572246065808,0.00182078293666,0.0,0.00507218103785,0.000520223696189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206708",0.00818364300787,0.661536877863,0.327603067579,0.00154408358639,0.0,0.00113232796335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",0.0387023075166,0.413114005026,0.546767192141,0.000913867946082,0.0,0.000502627370345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",0.043724364233,0.540894175554,0.412674323216,0.00110746513536,0.0,0.00143560295324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000164068908942,0.0,0.0,0.0,0.0,0.0,0.0
"X206747",0.0323190919123,0.513899837091,0.450733091597,0.00105102737926,0.0,0.0019969520206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206720",0.0574737842084,0.360773137491,0.578720450144,0.0011326683474,0.0,0.00189995980854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206721",0.0601399809902,0.327745614793,0.609133327573,0.000648060139981,0.0,0.00233301650393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206723",0.814814814815,0.148148148148,0.037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206724",0.541256016502,0.287722515089,0.164985865994,0.00045840018336,0.0,0.00538620215448,0.0,0.0,0.0001910000764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206728",0.058564670505,0.661997139609,0.249954160402,0.000916791961568,0.0,0.028530565844,3.66716784627e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206727",0.123252181202,0.561359393454,0.290280793996,0.00106678858536,0.0,0.024040842763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206734",0.102073565967,0.207608319436,0.681004373682,0.000881029545955,0.0,0.00843271136843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206733",0.0532347258312,0.228462922247,0.712439203145,0.000932773669132,0.0,0.00489706176294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33133453261e-05,0.0,0.0,0.0,0.0,0.0,0.0
"X206750",0.0361773766029,0.434665807006,0.527150942045,0.00171932086826,0.0,3.58191847554e-05,0.0,0.0,0.0,0.0,0.0,3.58191847554e-05,0.0,0.0,0.0,0.000179095923777,0.0,0.0,0.0,0.0,3.58191847554e-05,0.0
"X206751",0.0302076777848,0.493431403398,0.475849590938,0.000196664568911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000117998741347,0.0,0.0,0.0,0.000157331655129,3.93329137823e-05,0.0
"X206756",0.11662552141,0.366263726909,0.505746147953,0.000468204647995,0.0,0.000212820294543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106835787861,0.0,0.0,0.0,0.0,0.0,0.0
"X206755",0.0732584451269,0.508404719573,0.408356230807,0.000525294973331,0.0,0.000161629222563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092936802974,0.0,0.0,0.0,0.0,0.0,0.0
"X206767",0.12432246408,0.326421749978,0.518196678999,0.00146261722447,0.0,0.0295964897187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206766",0.0336387598845,0.40069453161,0.549056524832,0.000962302832517,0.0,0.0155642023346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.36785071754e-05
"X206769",0.767527675277,0.169741697417,0.0147601476015,0.0479704797048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206768",0.656236030398,0.25748770675,0.0393383996424,0.0254805543138,0.0,0.0116227089852,0.0,0.0,0.0,0.00178810907465,0.0,0.0,0.00178810907465,0.0,0.00447027268663,0.0,0.0,0.0,0.0,0.00178810907465,0.0,0.0
"X224327",0.161515019591,0.370787984327,0.457074444928,0.0104919460165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000130605137135,0.0,0.0,0.0,0.0,0.0,0.0
"X224328",0.154225432863,0.353667392883,0.483239689638,0.00871459694989,0.0,0.000152887665788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206536",0.267667631452,0.200494452484,0.483598649301,0.00590931017849,0.0,0.0423299565847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206538",0.283250113482,0.229005901044,0.441783931003,0.00419881979119,0.0,0.0400590104403,0.0,0.0,0.0,0.00147526100772,0.0,0.0,0.000226963231956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206534",0.270491378864,0.218091440998,0.474602599285,0.0118055195982,0.0,0.0242841609279,0.0,0.0,0.000569564542018,0.0,0.0,0.0,0.0,0.0,0.0,0.000155335784187,0.0,0.0,0.0,0.0,0.0,0.0
"X215050",0.088035350102,0.478416043508,0.3775492862,0.0559993201903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215023",0.246537766776,0.342744363417,0.408911487255,0.0015387703218,0.0,0.000267612229879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206548",0.461699164345,0.512070566388,0.0129990714949,0.00116063138347,0.0,0.0111420612813,0.0,0.0,0.0,0.000696378830084,0.0,0.000232126276695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206547",0.426168061367,0.555264993026,0.00950139470014,0.00409693165969,0.0,0.00496861924686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206562",0.058260005677,0.609494748794,0.2870422935,0.000496735736588,0.0,0.0,0.0,0.0,0.0,0.0444933295487,0.0,0.0,0.0,0.0,0.0,7.0962248084e-05,0.0,0.000141924496168,0.0,0.0,0.0,0.0
"X206561",0.0631471157128,0.567982705655,0.353737626579,0.00022755717374,0.0,0.0,0.0,0.0,0.0,0.01490499488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206564",0.154652137469,0.572506286672,0.268231349539,0.00125733445096,0.0,0.00335289186924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206563",0.201454886777,0.54839845125,0.224451484219,0.0116156282999,0.00281590989088,0.000469318315147,0.0,0.0,0.0,0.000586647893934,0.00228792678634,0.0,0.0,0.00457585357269,0.0,0.00293323946967,0.000410653525754,0.0,0.0,0.0,0.0,0.0
"X206570",0.242415779368,0.36830162332,0.262070169314,0.000279280851807,0.0,0.000279280851807,0.0,0.0,0.0,0.0126025484378,0.0,0.0,0.0,0.0,0.0,0.113702216792,0.0,0.000349101064758,0.0,0.0,0.0,0.0
"X206569",0.211801242236,0.294575569358,0.313084886128,0.000662525879917,0.0,0.0,0.0,0.0,0.0,0.0221118012422,0.0,0.0,0.0,0.0,0.0,0.15768115942,0.0,8.28157349896e-05,0.0,0.0,0.0,0.0
"X215067",0.0798160036395,0.476115857049,0.24318859627,0.00060658140828,0.0,0.0,0.0,0.00010109690138,0.0,0.0239599656271,0.0,0.0,0.0,0.0,0.0,0.176211899105,0.0,0.0,0.0,0.0,0.0,0.0
"X206604",0.275325207416,0.444740346205,0.263648468708,0.0106524633822,0.0,0.0,0.0,0.0,0.0,0.00122913039025,0.0,0.0,0.0,0.0,0.0,0.00368739117075,0.0,0.000716992727645,0.0,0.0,0.0,0.0
"X206605",0.298716840636,0.412539059903,0.282494514992,0.000997274117412,0.0,0.00505285552822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000199454823482,0.0,0.0,0.0,0.0,0.0,0.0
"X206608",0.0669535769719,0.403838013264,0.525680824044,0.000564413715253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00296317200508,0.0,0.0,0.0,0.0,0.0,0.0
"X206609",0.0993794937457,0.369742933123,0.526740864769,0.000196986112479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00393972224958,0.0,0.0,0.0,0.0,0.0,0.0
"X215085",0.0642458100559,0.322858472998,0.586359404097,0.0260707635009,0.0,0.0,0.0,0.0,0.0,0.000465549348231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215084",0.097969130788,0.354670999188,0.528513403737,0.000487408610885,0.0,0.0183590576767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
