"","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Corynebacteriales","Pseudomonadales","Sphingomonadales","Lactobacillales","Rhodospirillales","Selenomonadales","Flavobacteriales","Erysipelotrichales","Bacillales","Fusobacteriales","Thermales","Sphingobacteriales","Coriobacteriales","Opitutales","Bifidobacteriales","Actinomycetales","Micrococcales","Gastranaerophilales","Desulfovibrionales","Synergistales","Rhizobiales","Nitrospirales","Thermoanaerobacterales","Victivallales","Propionibacteriales","Streptosporangiales","Neisseriales","Xanthomonadales","Caulobacterales","Desulfuromonadales","Alteromonadales","Acidimicrobiales","Candidatus_Falkowbacteria(class)","Chloroplast(class)","Cytophagales","Frankiales","Campylobacterales","Bdellovibrionales","Pasteurellales","Cyanobacteria(phylum)","Enterobacteriales","Subgroup_10","Solirubrobacterales","Verrucomicrobiales","SubsectionII"
"X206538",0.1288016341352701,0.18043576940535633,0.4417839310031775,0.0,0.0,0.00011348161597821153,0.0,0.010213345438039038,0.0,0.028597367226509306,0.0,0.006014525646845211,0.0037448933272809805,0.04005901044030867,0.0,0.0,0.0013617793917385383,0.0,0.001702224239673173,0.0011348161597821154,0.0,0.0,0.007943713118474808,0.0,0.0,0.00022696323195642307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014752610077167498,0.0,0.0,0.0,0.0,0.025192918747162958,0.0,0.12119836586472992,0.0,0.0,0.0,0.0
"X215050",0.03845173351461591,0.43053195105370495,0.37754928619986405,0.0,0.0002549286199864038,0.0,0.0,0.0222212780421482,0.0,0.01856730115567641,0.0,0.007010537049626104,8.49762066621346e-05,0.0,0.0,0.0,0.007138001359619306,0.0,0.04847892590074779,0.0001274643099932019,0.0,0.0,0.006203263086335826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003399048266485384,0.0,0.0007647858599592114,0.0,0.04227566281441197,0.0,0.0,0.0,0.0
"X206548",0.0006963788300835655,0.44823584029712166,0.0127669452181987,0.0,0.001160631383472609,0.001160631383472609,0.0,0.011838440111420613,0.0,0.028783658310120707,0.0,0.019730733519034354,0.003481894150417827,0.011142061281337047,0.0,0.00023212627669452182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023212627669452182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046425255338904364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002321262766945218,0.0,0.11559888579387187,0.0006963788300835655,0.3414577530176416,0.0,0.0,0.0,0.0
"X206562",0.01930173147885325,0.5890576213454443,0.28704229349985805,0.0,0.0,0.0005676979846721544,0.0,0.008018734033494181,0.022707919386886176,0.011353959693443088,0.0,0.0010644337212602896,0.0,0.0,0.0,0.0,0.0004257734885041158,0.0,0.0,7.09622480840193e-05,0.0,0.0444933295486801,0.013908600624467783,0.0,0.0,0.0,0.0,0.0001419244961680386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.09622480840193e-05,0.0,0.0017030939540164632,0.0,0.0,7.09622480840193e-05,0.0
"X206561",0.02025258846285129,0.528046421663443,0.3537376265786779,0.0,0.0,0.0,0.0,0.005688929343497554,0.013653430424394129,0.03299579019228581,0.0,0.0010240072818295596,0.00022755717373990216,0.0,0.0,0.0,0.0,0.0,0.00022755717373990216,0.0,0.0,0.014904994879963591,0.027306860848788257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0
"X206570",0.011101413859312272,0.3545470413684762,0.2620701693140164,0.0,0.0,6.98202129516495e-05,0.0,0.0017105952173154127,0.2143829638680398,0.010926863326933147,0.0,0.0008029324489439693,0.000279280851806598,0.000279280851806598,0.0,0.0,0.0,0.0,0.0002094606388549485,3.491010647582475e-05,3.491010647582475e-05,0.012602548437772735,0.014941525571652993,0.0,0.0,0.0,3.491010647582475e-05,0.00034910106475824753,0.0,0.0,6.98202129516495e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000139640425903299,0.0,0.0017105952173154127,0.0,0.0,0.0,0.0,0.11370221679176122,0.0
"X206605",0.2284422578286018,0.3924606076723622,0.2824280300511934,0.0,0.0001994548234824812,0.002459942822950602,0.0,0.0007313343527690978,0.0,0.011435409879662257,6.648494116082707e-05,0.007313343527690978,0.0,0.005052855528222857,0.0,0.0,0.0007978192939299248,0.0,0.0,0.0,0.0,0.0,0.01775147928994083,0.0,0.0,0.0,0.0005983644704474437,0.0,0.0,0.0,0.0002659397646433083,6.648494116082707e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010637590585732331,0.0,0.01156837976198391,0.0,0.037098597167741505,0.0,0.0,0.0001994548234824812,0.0
"X206609",0.02196395154141633,0.3517187038313799,0.5267408647690338,0.0,0.00019698611247907023,0.002560819462227913,0.0,0.0005909583374372107,0.0,0.002659312518467448,0.0,0.014379986210972126,0.00039397222495814047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05850487540628386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029547916871860535,0.0,0.006205062543090712,0.0,0.009849305623953511,0.0,0.0,0.003939722249581405,0.0
"X215085",0.019553072625698324,0.26303538175046554,0.5863594040968343,0.00558659217877095,0.007914338919925512,0.0,0.0016294227188081937,0.022579143389199256,0.0,0.015595903165735567,0.0,0.01303538175046555,0.00861266294227188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074487895716946,0.0,0.023277467411545624,0.0,0.0,0.0,0.0,0.0,0.0016294227188081937,0.0,0.0,0.0,0.0,0.0,0.003026070763500931,0.0013966480446927375,0.0,0.0004655493482309125,0.0,0.007681564245810056,0.0,0.0,0.0,0.0,0.0111731843575419,0.0,0.0,0.0,0.0
"X214995",0.03465598013207654,0.38776316532144267,0.49240842129028617,0.0,0.0,0.0004515437150759158,0.00011288592876897895,0.023085172433256196,5.6442964384489474e-05,0.025230005079866794,0.00011288592876897895,0.01738443303042276,0.0009030874301518316,0.004007450471298753,0.0,0.0005079866794604052,0.0,0.0,0.00016932889315346842,0.0002257718575379579,0.01061127730428402,0.0,0.0,0.0,0.00016932889315346842,0.0,0.0,0.0,0.0,0.0,5.6442964384489474e-05,0.00033865778630693685,0.0,0.0,0.0,0.0,0.0,0.0,0.0002257718575379579,0.0,0.0003951007506914263,0.0,0.0007337585369983631,0.0,0.00028221482192244734,0.00011288592876897895,0.0,0.0,0.0
"X215075",0.00644244914523411,0.472480089281185,0.45670369806726524,0.0,5.072794602546543e-05,0.0,0.0,0.007304824227667022,0.0,0.004666971034342819,0.0,0.0012174707046111702,0.0015218383807639629,0.000355095622178258,0.0,0.0,0.000355095622178258,0.0,0.0011160148125602394,0.00030436767615279255,0.0005580074062801197,0.0,0.0009131030284583778,0.0,5.072794602546543e-05,0.0,0.0,0.0,0.0,0.0,0.00010145589205093085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015218383807639628,0.0,0.04484350428651144,0.0,0.0008623750824329122,0.0,0.0,0.0,0.0
