"","x"
"1","Ornithinimicrobium"
"2","Ruminococcaceae_UCG_003"
"3","Sphingobacterium"
"4","Senegalimassilia"
"5","Hydrogenoanaerobacterium"
"6","Catenisphaera"
"7","Howardella"
"8","Anaerococcus"
"9","_Clostridium_innocuum_group"
"10","Romboutsia"
"11","Subgroup_6(class)"
"12","Plantactinospora"
"13","Phascolarctobacterium"
"14","Bacteroidales_S24_7_group(family)"
"15","_Eubacterium_nodatum_group"
"16","Enhydrobacter"
"17","Caulobacter"
"18","Chloroplast(class)"
"19","Anaerofilum"
"20","Citrobacter"
"21","Dielma"
"22","Rhodopseudomonas"
