"","Firmicutes","Bacteroidetes","Actinobacteria","Proteobacteria","Fusobacteria","Cyanobacteria","Lentisphaerae","Verrucomicrobia","Euryarchaeota"
"X206712",0.3850471589602024,0.589602024384633,0.005429031515988038,0.013158500115021855,0.00676328502415459,0.0,0.0,0.0,0.0
"X206731",0.4602235904082955,0.5051847051198963,0.016404731043421904,0.016971808165910564,0.0,0.0,0.001093648736228127,0.0,0.00012151652624756967
"X206761",0.3633769220939643,0.5366102994420071,0.008518976019082506,0.09098266388380116,0.0005111385611449503,0.0,0.0,0.0,0.0
"X224325",0.3416890480453596,0.5408460161145927,0.0014920919128618322,0.11518949567293345,0.000783348254252462,0.0,0.0,0.0,0.0
"X219644",0.9250379362670713,0.07331454584868849,0.0008237589421200954,0.0006503360069369175,0.00017342293518317797,0.0,0.0,0.0,0.0
"X219645",0.5354047495233143,0.43863754550182005,0.002470098803952158,0.02327093083723349,0.00013000520020800833,4.3335066736002776e-05,0.0,4.3335066736002776e-05,0.0
"X219670",0.8395745210251306,0.1413908932570291,0.005162975864642946,0.013187360039810898,0.0,0.0006842498133864145,0.0,0.0,0.0
