"","Clostridiales","Bacteroidales","Corynebacteriales","Pseudomonadales","Lactobacillales","Rhodospirillales","Burkholderiales","Selenomonadales","Bacillales","Fusobacteriales","Coriobacteriales","Bifidobacteriales","Actinomycetales","Erysipelotrichales","Micrococcales","Gastranaerophilales","Desulfovibrionales","Rhizobiales","Sphingobacteriales","Victivallales","Neisseriales","Chloroplast(class)","Campylobacterales","Pasteurellales","Enterobacteriales","Xanthomonadales","Verrucomicrobiales","Methanobacteriales"
"X206712",0.37037037037037035,0.589602024384633,0.0,0.0001840349666436623,0.0012422360248447205,0.0,0.0007361398665746492,0.0051529790660225444,9.201748332183115e-05,0.00676328502415459,0.0023464458247066944,0.00280653324131585,0.00027605244996549346,0.008189556015642972,0.0,0.0,0.011180124223602485,0.0,0.0,0.0,0.0,0.0,0.00013802622498274673,0.00013802622498274673,0.0007361398665746492,4.6008741660915574e-05,0.0,0.0
"X206731",0.4293178872326636,0.5051847051198963,8.101101749837978e-05,0.00020252754374594945,0.012151652624756967,0.0,0.01069345430978613,0.011868114063512637,0.000729099157485418,0.0,0.0004050550874918989,0.015797148412184058,0.00012151652624756967,0.006156837329876863,0.0,0.0,0.004617627997407648,0.0,0.0,0.001093648736228127,0.0,0.0,0.0,0.0014176928062216462,4.050550874918989e-05,0.0,0.0,0.00012151652624756967
"X206761",0.3366273373940452,0.5366102994420071,4.259488009541253e-05,0.00017037952038165011,0.0017463900839119139,0.0,0.0010648720023853132,0.019806619244366826,0.00025556928057247517,0.0005111385611449503,0.003918728968777953,0.004429867529922903,4.259488009541253e-05,0.004941006091067853,8.518976019082506e-05,0.0,0.0,0.0,0.0,0.0,0.0009370873620990757,0.0,0.0,0.04523576266132811,0.04357456233760702,0.0,0.0,0.0
"X224325",0.3016263801850194,0.5408460161145927,3.730229782154581e-05,0.00011190689346463742,0.008691435392420174,0.0,0.029841838257236644,0.026484631453297523,0.0007087436586093703,0.000783348254252462,0.0004849298716800955,0.00022381378692927484,0.0005222321695016413,0.0041778573560131305,0.00022381378692927484,0.0,0.035660996717397794,3.730229782154581e-05,0.0,0.0,0.00022381378692927484,0.0,0.00041032527603700387,0.0006341390629662787,0.04826917338108028,0.0,0.0,0.0
"X219644",0.8685020593973553,0.07331454584868849,4.3355733795794494e-05,0.00026013440277476696,0.0016475178842401909,0.0,0.0,0.002644699761543464,0.00043355733795794494,0.00017342293518317797,0.00030349013657056146,0.00026013440277476696,8.671146759158899e-05,0.05181010188597442,0.00013006720138738348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039020160416215044,0.0,0.0,0.0,0.0
"X219645",0.5292511700468019,0.43863754550182005,0.0,0.0,0.0006066909343040389,0.0,0.022880915236609463,0.000563355867568036,0.0,0.00013000520020800833,0.0006066909343040389,0.0018200728029121164,0.0,0.004983532674640319,4.3335066736002776e-05,0.0,0.0,0.0,0.0,0.0,0.00013000520020800833,4.3335066736002776e-05,0.0,0.00013000520020800833,0.00013000520020800833,0.0,4.3335066736002776e-05,0.0
"X219670",0.7657377457078876,0.1412042796715601,0.0001244090569793481,0.0006842498133864145,0.0009952724558347848,0.0013062950982831551,0.0035456581239114208,0.06836277681015178,6.220452848967405e-05,0.0,0.0009952724558347848,0.003856680766359791,0.00018661358546902214,0.004416521522766857,0.0,0.0006842498133864145,0.0066558845483951235,0.0,0.00018661358546902214,0.0,0.0,0.0,0.0,0.0002488181139586962,0.0007464543418760885,0.0,0.0,0.0
